Statistic,Month,Age.Group,Sex,value
Seasonally Adjusted Monthly Unemployment,2023 March,25 - 74 years,Both sexes,78.4
Seasonally Adjusted Monthly Unemployment,2023 March,25 - 74 years,Male,44.1
Seasonally Adjusted Monthly Unemployment,2023 March,25 - 74 years,Female,34.3
Seasonally Adjusted Monthly Unemployment,2023 April,15 - 24 years,Both sexes,36.2
Seasonally Adjusted Monthly Unemployment,2023 April,15 - 24 years,Male,19.3
Seasonally Adjusted Monthly Unemployment,2023 April,15 - 24 years,Female,17.0
Seasonally Adjusted Monthly Unemployment,2023 April,15 - 74 years,Both sexes,114.3
Seasonally Adjusted Monthly Unemployment,2023 April,15 - 74 years,Male,63.1
Seasonally Adjusted Monthly Unemployment,2023 April,15 - 74 years,Female,51.2
Seasonally Adjusted Monthly Unemployment,2023 April,25 - 74 years,Both sexes,78.1
Seasonally Adjusted Monthly Unemployment,2023 April,25 - 74 years,Male,43.8
Seasonally Adjusted Monthly Unemployment,2023 April,25 - 74 years,Female,34.3
Seasonally Adjusted Monthly Unemployment,2023 May,15 - 24 years,Both sexes,34.9
Seasonally Adjusted Monthly Unemployment,2023 May,15 - 24 years,Male,18.0
Seasonally Adjusted Monthly Unemployment,2023 May,15 - 24 years,Female,16.9
Seasonally Adjusted Monthly Unemployment,2023 May,15 - 74 years,Both sexes,113.3
Seasonally Adjusted Monthly Unemployment,2023 May,15 - 74 years,Male,62.2
Seasonally Adjusted Monthly Unemployment,2023 May,15 - 74 years,Female,51.1
Seasonally Adjusted Monthly Unemployment,2023 May,25 - 74 years,Both sexes,78.5
Seasonally Adjusted Monthly Unemployment,2023 May,25 - 74 years,Male,44.2
Seasonally Adjusted Monthly Unemployment,2023 May,25 - 74 years,Female,34.2
Seasonally Adjusted Monthly Unemployment,2023 June,15 - 24 years,Both sexes,37.4
Seasonally Adjusted Monthly Unemployment,2023 June,15 - 24 years,Male,19.2
Seasonally Adjusted Monthly Unemployment,2023 June,15 - 24 years,Female,18.2
Seasonally Adjusted Monthly Unemployment,2023 June,15 - 74 years,Both sexes,119.3
Seasonally Adjusted Monthly Unemployment,2023 June,15 - 74 years,Male,65.6
Seasonally Adjusted Monthly Unemployment,2023 June,15 - 74 years,Female,53.7
Seasonally Adjusted Monthly Unemployment,2023 June,25 - 74 years,Both sexes,82.0
Seasonally Adjusted Monthly Unemployment,2023 June,25 - 74 years,Male,46.4
Seasonally Adjusted Monthly Unemployment,2023 June,25 - 74 years,Female,35.6
Seasonally Adjusted Monthly Unemployment,2023 July,15 - 24 years,Both sexes,38.4
Seasonally Adjusted Monthly Unemployment,2023 July,15 - 24 years,Male,19.9
Seasonally Adjusted Monthly Unemployment,2023 July,15 - 24 years,Female,18.5
Seasonally Adjusted Monthly Unemployment,2023 July,15 - 74 years,Both sexes,120.7
Seasonally Adjusted Monthly Unemployment,2023 July,15 - 74 years,Male,66.1
Seasonally Adjusted Monthly Unemployment,2023 July,15 - 74 years,Female,54.6
Seasonally Adjusted Monthly Unemployment,2023 July,25 - 74 years,Both sexes,82.3
Seasonally Adjusted Monthly Unemployment,2023 July,25 - 74 years,Male,46.2
Seasonally Adjusted Monthly Unemployment,2023 July,25 - 74 years,Female,36.1
Seasonally Adjusted Monthly Unemployment,2023 August,15 - 24 years,Both sexes,40.0
Seasonally Adjusted Monthly Unemployment,2023 August,15 - 24 years,Male,20.8
Seasonally Adjusted Monthly Unemployment,2023 August,15 - 24 years,Female,19.2
Seasonally Adjusted Monthly Unemployment,2023 August,15 - 74 years,Both sexes,123.7
Seasonally Adjusted Monthly Unemployment,2023 August,15 - 74 years,Male,67.2
Seasonally Adjusted Monthly Unemployment,2023 August,15 - 74 years,Female,56.5
Seasonally Adjusted Monthly Unemployment,2023 August,25 - 74 years,Both sexes,83.7
Seasonally Adjusted Monthly Unemployment,2023 August,25 - 74 years,Male,46.4
Seasonally Adjusted Monthly Unemployment,2023 August,25 - 74 years,Female,37.3
Seasonally Adjusted Monthly Unemployment,2023 September,15 - 24 years,Both sexes,43.8
Seasonally Adjusted Monthly Unemployment,2023 September,15 - 24 years,Male,21.7
Seasonally Adjusted Monthly Unemployment,2023 September,15 - 24 years,Female,22.1
Seasonally Adjusted Monthly Unemployment,2023 September,15 - 74 years,Both sexes,129.0
Seasonally Adjusted Monthly Unemployment,2023 September,15 - 74 years,Male,68.2
Seasonally Adjusted Monthly Unemployment,2023 September,15 - 74 years,Female,60.7
Seasonally Adjusted Monthly Unemployment,2023 September,25 - 74 years,Both sexes,85.2
Seasonally Adjusted Monthly Unemployment,2023 September,25 - 74 years,Male,46.5
Seasonally Adjusted Monthly Unemployment,2023 September,25 - 74 years,Female,38.6
Seasonally Adjusted Monthly Unemployment,2023 October,15 - 24 years,Both sexes,41.2
Seasonally Adjusted Monthly Unemployment,2023 October,15 - 24 years,Male,19.7
Seasonally Adjusted Monthly Unemployment,2023 October,15 - 24 years,Female,21.5
Seasonally Adjusted Monthly Unemployment,2023 October,15 - 74 years,Both sexes,126.9
Seasonally Adjusted Monthly Unemployment,2023 October,15 - 74 years,Male,65.6
Seasonally Adjusted Monthly Unemployment,2023 October,15 - 74 years,Female,61.3
Seasonally Adjusted Monthly Unemployment,2023 October,25 - 74 years,Both sexes,85.7
Seasonally Adjusted Monthly Unemployment,2023 October,25 - 74 years,Male,45.9
Seasonally Adjusted Monthly Unemployment,2023 October,25 - 74 years,Female,39.8
Seasonally Adjusted Monthly Unemployment,2023 November,15 - 24 years,Both sexes,40.4
Seasonally Adjusted Monthly Unemployment,2023 November,15 - 24 years,Male,19.0
Seasonally Adjusted Monthly Unemployment,2023 November,15 - 24 years,Female,21.4
Seasonally Adjusted Monthly Unemployment,2023 November,15 - 74 years,Both sexes,125.1
Seasonally Adjusted Monthly Unemployment,2023 November,15 - 74 years,Male,63.2
Seasonally Adjusted Monthly Unemployment,2023 November,15 - 74 years,Female,61.8
Seasonally Adjusted Monthly Unemployment,2023 November,25 - 74 years,Both sexes,84.7
Seasonally Adjusted Monthly Unemployment,2023 November,25 - 74 years,Male,44.3
Seasonally Adjusted Monthly Unemployment,2023 November,25 - 74 years,Female,40.4
Seasonally Adjusted Monthly Unemployment,2023 December,15 - 24 years,Both sexes,41.7
Seasonally Adjusted Monthly Unemployment,2023 December,15 - 24 years,Male,19.8
Seasonally Adjusted Monthly Unemployment,2023 December,15 - 24 years,Female,21.9
Seasonally Adjusted Monthly Unemployment,2023 December,15 - 74 years,Both sexes,126.0
Seasonally Adjusted Monthly Unemployment,2023 December,15 - 74 years,Male,63.6
Seasonally Adjusted Monthly Unemployment,2023 December,15 - 74 years,Female,62.4
Seasonally Adjusted Monthly Unemployment,2023 December,25 - 74 years,Both sexes,84.3
Seasonally Adjusted Monthly Unemployment,2023 December,25 - 74 years,Male,43.8
Seasonally Adjusted Monthly Unemployment,2023 December,25 - 74 years,Female,40.5
Seasonally Adjusted Monthly Unemployment,2024 January,15 - 24 years,Both sexes,43.4
Seasonally Adjusted Monthly Unemployment,2024 January,15 - 24 years,Male,21.8
Seasonally Adjusted Monthly Unemployment,2024 January,15 - 24 years,Female,21.7
Seasonally Adjusted Monthly Unemployment,2024 January,15 - 74 years,Both sexes,128.2
Seasonally Adjusted Monthly Unemployment,2024 January,15 - 74 years,Male,65.2
Seasonally Adjusted Monthly Unemployment,2024 January,15 - 74 years,Female,63.0
Seasonally Adjusted Monthly Unemployment,2024 January,25 - 74 years,Both sexes,84.7
Seasonally Adjusted Monthly Unemployment,2024 January,25 - 74 years,Male,43.4
Seasonally Adjusted Monthly Unemployment,2024 January,25 - 74 years,Female,41.3
Seasonally Adjusted Monthly Unemployment,2024 February,15 - 24 years,Both sexes,37.1
Seasonally Adjusted Monthly Unemployment,2024 February,15 - 24 years,Male,19.4
Seasonally Adjusted Monthly Unemployment,2024 February,15 - 24 years,Female,17.7
Seasonally Adjusted Monthly Unemployment,2024 February,15 - 74 years,Both sexes,117.6
Seasonally Adjusted Monthly Unemployment,2024 February,15 - 74 years,Male,59.4
Seasonally Adjusted Monthly Unemployment,2024 February,15 - 74 years,Female,58.2
Seasonally Adjusted Monthly Unemployment,2024 February,25 - 74 years,Both sexes,80.5
Seasonally Adjusted Monthly Unemployment,2024 February,25 - 74 years,Male,39.9
Seasonally Adjusted Monthly Unemployment,2024 February,25 - 74 years,Female,40.6
Seasonally Adjusted Monthly Unemployment,2024 March,15 - 24 years,Both sexes,33.2
Seasonally Adjusted Monthly Unemployment,2024 March,15 - 24 years,Male,17.4
Seasonally Adjusted Monthly Unemployment,2024 March,15 - 24 years,Female,15.8
Seasonally Adjusted Monthly Unemployment,2024 March,15 - 74 years,Both sexes,115.4
Seasonally Adjusted Monthly Unemployment,2024 March,15 - 74 years,Male,57.8
Seasonally Adjusted Monthly Unemployment,2024 March,15 - 74 years,Female,57.6
Seasonally Adjusted Monthly Unemployment,2024 March,25 - 74 years,Both sexes,82.2
Seasonally Adjusted Monthly Unemployment,2024 March,25 - 74 years,Male,40.4
Seasonally Adjusted Monthly Unemployment,2024 March,25 - 74 years,Female,41.7
Seasonally Adjusted Monthly Unemployment,2024 April,15 - 24 years,Both sexes,39.2
Seasonally Adjusted Monthly Unemployment,2024 April,15 - 24 years,Male,18.8
Seasonally Adjusted Monthly Unemployment,2024 April,15 - 24 years,Female,20.4
Seasonally Adjusted Monthly Unemployment,2024 April,15 - 74 years,Both sexes,124.2
Seasonally Adjusted Monthly Unemployment,2024 April,15 - 74 years,Male,60.4
Seasonally Adjusted Monthly Unemployment,2024 April,15 - 74 years,Female,63.8
Seasonally Adjusted Monthly Unemployment,2024 April,25 - 74 years,Both sexes,85.0
Seasonally Adjusted Monthly Unemployment,2024 April,25 - 74 years,Male,41.6
Seasonally Adjusted Monthly Unemployment,2024 April,25 - 74 years,Female,43.4
Seasonally Adjusted Monthly Unemployment Rate,1998 January,15 - 24 years,Both sexes,13.3
Seasonally Adjusted Monthly Unemployment Rate,1998 January,15 - 24 years,Male,13.8
Seasonally Adjusted Monthly Unemployment Rate,1998 January,15 - 24 years,Female,12.7
Seasonally Adjusted Monthly Unemployment Rate,1998 January,15 - 74 years,Both sexes,8.8
Seasonally Adjusted Monthly Unemployment Rate,1998 January,15 - 74 years,Male,8.4
Seasonally Adjusted Monthly Unemployment Rate,1998 January,15 - 74 years,Female,9.4
Seasonally Adjusted Monthly Unemployment Rate,1998 January,25 - 74 years,Both sexes,7.4
Seasonally Adjusted Monthly Unemployment Rate,1998 January,25 - 74 years,Male,6.9
Seasonally Adjusted Monthly Unemployment Rate,1998 January,25 - 74 years,Female,8.1
Seasonally Adjusted Monthly Unemployment Rate,1998 February,15 - 24 years,Both sexes,13.1
Seasonally Adjusted Monthly Unemployment Rate,1998 February,15 - 24 years,Male,13.7
Seasonally Adjusted Monthly Unemployment Rate,1998 February,15 - 24 years,Female,12.4
Seasonally Adjusted Monthly Unemployment Rate,1998 February,15 - 74 years,Both sexes,9.0
Seasonally Adjusted Monthly Unemployment Rate,1998 February,15 - 74 years,Male,8.6
Seasonally Adjusted Monthly Unemployment Rate,1998 February,15 - 74 years,Female,9.5
Seasonally Adjusted Monthly Unemployment Rate,1998 February,25 - 74 years,Both sexes,7.6
Seasonally Adjusted Monthly Unemployment Rate,1998 February,25 - 74 years,Male,7.2
Seasonally Adjusted Monthly Unemployment Rate,1998 February,25 - 74 years,Female,8.4
Seasonally Adjusted Monthly Unemployment Rate,1998 March,15 - 24 years,Both sexes,12.7
Seasonally Adjusted Monthly Unemployment Rate,1998 March,15 - 24 years,Male,13.2
Seasonally Adjusted Monthly Unemployment Rate,1998 March,15 - 24 years,Female,12.1
Seasonally Adjusted Monthly Unemployment Rate,1998 March,15 - 74 years,Both sexes,8.8
Seasonally Adjusted Monthly Unemployment Rate,1998 March,15 - 74 years,Male,8.4
Seasonally Adjusted Monthly Unemployment Rate,1998 March,15 - 74 years,Female,9.3
Seasonally Adjusted Monthly Unemployment Rate,1998 March,25 - 74 years,Both sexes,7.5
Seasonally Adjusted Monthly Unemployment Rate,1998 March,25 - 74 years,Male,7.1
Seasonally Adjusted Monthly Unemployment Rate,1998 March,25 - 74 years,Female,8.3
Seasonally Adjusted Monthly Unemployment Rate,1998 April,15 - 24 years,Both sexes,11.9
Seasonally Adjusted Monthly Unemployment Rate,1998 April,15 - 24 years,Male,12.2
Seasonally Adjusted Monthly Unemployment Rate,1998 April,15 - 24 years,Female,11.5
Seasonally Adjusted Monthly Unemployment Rate,1998 April,15 - 74 years,Both sexes,8.2
Seasonally Adjusted Monthly Unemployment Rate,1998 April,15 - 74 years,Male,7.9
Seasonally Adjusted Monthly Unemployment Rate,1998 April,15 - 74 years,Female,8.7
Seasonally Adjusted Monthly Unemployment Rate,1998 April,25 - 74 years,Both sexes,7.1
Seasonally Adjusted Monthly Unemployment Rate,1998 April,25 - 74 years,Male,6.7
Seasonally Adjusted Monthly Unemployment Rate,1998 April,25 - 74 years,Female,7.7
Seasonally Adjusted Monthly Unemployment Rate,1998 May,15 - 24 years,Both sexes,11.3
Seasonally Adjusted Monthly Unemployment Rate,1998 May,15 - 24 years,Male,11.6
Seasonally Adjusted Monthly Unemployment Rate,1998 May,15 - 24 years,Female,10.9
Seasonally Adjusted Monthly Unemployment Rate,1998 May,15 - 74 years,Both sexes,7.9
Seasonally Adjusted Monthly Unemployment Rate,1998 May,15 - 74 years,Male,7.6
Seasonally Adjusted Monthly Unemployment Rate,1998 May,15 - 74 years,Female,8.2
Seasonally Adjusted Monthly Unemployment Rate,1998 May,25 - 74 years,Both sexes,6.8
Seasonally Adjusted Monthly Unemployment Rate,1998 May,25 - 74 years,Male,6.5
Seasonally Adjusted Monthly Unemployment Rate,1998 May,25 - 74 years,Female,7.2
Seasonally Adjusted Monthly Unemployment Rate,1998 June,15 - 24 years,Both sexes,10.9
Seasonally Adjusted Monthly Unemployment Rate,1998 June,15 - 24 years,Male,11.3
Seasonally Adjusted Monthly Unemployment Rate,1998 June,15 - 24 years,Female,10.3
Seasonally Adjusted Monthly Unemployment Rate,1998 June,15 - 74 years,Both sexes,7.6
Seasonally Adjusted Monthly Unemployment Rate,1998 June,15 - 74 years,Male,7.4
Seasonally Adjusted Monthly Unemployment Rate,1998 June,15 - 74 years,Female,7.8
Seasonally Adjusted Monthly Unemployment Rate,1998 June,25 - 74 years,Both sexes,6.5
Seasonally Adjusted Monthly Unemployment Rate,1998 June,25 - 74 years,Male,6.3
Seasonally Adjusted Monthly Unemployment Rate,1998 June,25 - 74 years,Female,6.9
Seasonally Adjusted Monthly Unemployment Rate,1998 July,15 - 24 years,Both sexes,10.5
Seasonally Adjusted Monthly Unemployment Rate,1998 July,15 - 24 years,Male,11.0
Seasonally Adjusted Monthly Unemployment Rate,1998 July,15 - 24 years,Female,9.8
Seasonally Adjusted Monthly Unemployment Rate,1998 July,15 - 74 years,Both sexes,7.4
Seasonally Adjusted Monthly Unemployment Rate,1998 July,15 - 74 years,Male,7.3
Seasonally Adjusted Monthly Unemployment Rate,1998 July,15 - 74 years,Female,7.6
Seasonally Adjusted Monthly Unemployment Rate,1998 July,25 - 74 years,Both sexes,6.5
Seasonally Adjusted Monthly Unemployment Rate,1998 July,25 - 74 years,Male,6.3
Seasonally Adjusted Monthly Unemployment Rate,1998 July,25 - 74 years,Female,6.8
Seasonally Adjusted Monthly Unemployment Rate,1998 August,15 - 24 years,Both sexes,10.2
Seasonally Adjusted Monthly Unemployment Rate,1998 August,15 - 24 years,Male,10.8
Seasonally Adjusted Monthly Unemployment Rate,1998 August,15 - 24 years,Female,9.5
Seasonally Adjusted Monthly Unemployment Rate,1998 August,15 - 74 years,Both sexes,7.2
Seasonally Adjusted Monthly Unemployment Rate,1998 August,15 - 74 years,Male,7.1
Seasonally Adjusted Monthly Unemployment Rate,1998 August,15 - 74 years,Female,7.4
Seasonally Adjusted Monthly Unemployment Rate,1998 August,25 - 74 years,Both sexes,6.3
Seasonally Adjusted Monthly Unemployment Rate,1998 August,25 - 74 years,Male,6.1
Seasonally Adjusted Monthly Unemployment Rate,1998 August,25 - 74 years,Female,6.7
Seasonally Adjusted Monthly Unemployment Rate,1998 September,15 - 24 years,Both sexes,10.2
Seasonally Adjusted Monthly Unemployment Rate,1998 September,15 - 24 years,Male,10.7
Seasonally Adjusted Monthly Unemployment Rate,1998 September,15 - 24 years,Female,9.6
Seasonally Adjusted Monthly Unemployment Rate,1998 September,15 - 74 years,Both sexes,7.1
Seasonally Adjusted Monthly Unemployment Rate,1998 September,15 - 74 years,Male,7.0
Seasonally Adjusted Monthly Unemployment Rate,1998 September,15 - 74 years,Female,7.4
Seasonally Adjusted Monthly Unemployment Rate,1998 September,25 - 74 years,Both sexes,6.2
Seasonally Adjusted Monthly Unemployment Rate,1998 September,25 - 74 years,Male,6.0
Seasonally Adjusted Monthly Unemployment Rate,1998 September,25 - 74 years,Female,6.6
Seasonally Adjusted Monthly Unemployment Rate,1998 October,15 - 24 years,Both sexes,10.1
Seasonally Adjusted Monthly Unemployment Rate,1998 October,15 - 24 years,Male,10.4
Seasonally Adjusted Monthly Unemployment Rate,1998 October,15 - 24 years,Female,9.7
Seasonally Adjusted Monthly Unemployment Rate,1998 October,15 - 74 years,Both sexes,6.9
Seasonally Adjusted Monthly Unemployment Rate,1998 October,15 - 74 years,Male,6.7
Seasonally Adjusted Monthly Unemployment Rate,1998 October,15 - 74 years,Female,7.1
Seasonally Adjusted Monthly Unemployment Rate,1998 October,25 - 74 years,Both sexes,5.9
Seasonally Adjusted Monthly Unemployment Rate,1998 October,25 - 74 years,Male,5.6
Seasonally Adjusted Monthly Unemployment Rate,1998 October,25 - 74 years,Female,6.2
Seasonally Adjusted Monthly Unemployment Rate,1998 November,15 - 24 years,Both sexes,9.9
Seasonally Adjusted Monthly Unemployment Rate,1998 November,15 - 24 years,Male,10.1
Seasonally Adjusted Monthly Unemployment Rate,1998 November,15 - 24 years,Female,9.7
Seasonally Adjusted Monthly Unemployment Rate,1998 November,15 - 74 years,Both sexes,6.6
Seasonally Adjusted Monthly Unemployment Rate,1998 November,15 - 74 years,Male,6.4
Seasonally Adjusted Monthly Unemployment Rate,1998 November,15 - 74 years,Female,7.0
Seasonally Adjusted Monthly Unemployment Rate,1998 November,25 - 74 years,Both sexes,5.6
Seasonally Adjusted Monthly Unemployment Rate,1998 November,25 - 74 years,Male,5.4
Seasonally Adjusted Monthly Unemployment Rate,1998 November,25 - 74 years,Female,6.0
Seasonally Adjusted Monthly Unemployment Rate,1998 December,15 - 24 years,Both sexes,10.0
Seasonally Adjusted Monthly Unemployment Rate,1998 December,15 - 24 years,Male,10.1
Seasonally Adjusted Monthly Unemployment Rate,1998 December,15 - 24 years,Female,10.0
Seasonally Adjusted Monthly Unemployment Rate,1998 December,15 - 74 years,Both sexes,6.5
Seasonally Adjusted Monthly Unemployment Rate,1998 December,15 - 74 years,Male,6.3
Seasonally Adjusted Monthly Unemployment Rate,1998 December,15 - 74 years,Female,6.9
Seasonally Adjusted Monthly Unemployment Rate,1998 December,25 - 74 years,Both sexes,5.5
Seasonally Adjusted Monthly Unemployment Rate,1998 December,25 - 74 years,Male,5.2
Seasonally Adjusted Monthly Unemployment Rate,1998 December,25 - 74 years,Female,5.9
Seasonally Adjusted Monthly Unemployment Rate,1999 January,15 - 24 years,Both sexes,9.6
Seasonally Adjusted Monthly Unemployment Rate,1999 January,15 - 24 years,Male,9.9
Seasonally Adjusted Monthly Unemployment Rate,1999 January,15 - 24 years,Female,9.3
Seasonally Adjusted Monthly Unemployment Rate,1999 January,15 - 74 years,Both sexes,6.4
Seasonally Adjusted Monthly Unemployment Rate,1999 January,15 - 74 years,Male,6.2
Seasonally Adjusted Monthly Unemployment Rate,1999 January,15 - 74 years,Female,6.7
Seasonally Adjusted Monthly Unemployment Rate,1999 January,25 - 74 years,Both sexes,5.4
Seasonally Adjusted Monthly Unemployment Rate,1999 January,25 - 74 years,Male,5.2
Seasonally Adjusted Monthly Unemployment Rate,1999 January,25 - 74 years,Female,5.8
Seasonally Adjusted Monthly Unemployment Rate,1999 February,15 - 24 years,Both sexes,9.3
Seasonally Adjusted Monthly Unemployment Rate,1999 February,15 - 24 years,Male,9.7
Seasonally Adjusted Monthly Unemployment Rate,1999 February,15 - 24 years,Female,8.9
Seasonally Adjusted Monthly Unemployment Rate,1999 February,15 - 74 years,Both sexes,6.2
Seasonally Adjusted Monthly Unemployment Rate,1999 February,15 - 74 years,Male,6.1
Seasonally Adjusted Monthly Unemployment Rate,1999 February,15 - 74 years,Female,6.5
Seasonally Adjusted Monthly Unemployment Rate,1999 February,25 - 74 years,Both sexes,5.3
Seasonally Adjusted Monthly Unemployment Rate,1999 February,25 - 74 years,Male,5.1
Seasonally Adjusted Monthly Unemployment Rate,1999 February,25 - 74 years,Female,5.6
Seasonally Adjusted Monthly Unemployment Rate,1999 March,15 - 24 years,Both sexes,9.2
Seasonally Adjusted Monthly Unemployment Rate,1999 March,15 - 24 years,Male,9.5
Seasonally Adjusted Monthly Unemployment Rate,1999 March,15 - 24 years,Female,8.7
Seasonally Adjusted Monthly Unemployment Rate,1999 March,15 - 74 years,Both sexes,6.2
Seasonally Adjusted Monthly Unemployment Rate,1999 March,15 - 74 years,Male,6.0
Seasonally Adjusted Monthly Unemployment Rate,1999 March,15 - 74 years,Female,6.4
Seasonally Adjusted Monthly Unemployment Rate,1999 March,25 - 74 years,Both sexes,5.2
Seasonally Adjusted Monthly Unemployment Rate,1999 March,25 - 74 years,Male,5.0
Seasonally Adjusted Monthly Unemployment Rate,1999 March,25 - 74 years,Female,5.6
Seasonally Adjusted Monthly Unemployment Rate,1999 April,15 - 24 years,Both sexes,9.0
Seasonally Adjusted Monthly Unemployment Rate,1999 April,15 - 24 years,Male,9.4
Seasonally Adjusted Monthly Unemployment Rate,1999 April,15 - 24 years,Female,8.5
Seasonally Adjusted Monthly Unemployment Rate,1999 April,15 - 74 years,Both sexes,6.1
Seasonally Adjusted Monthly Unemployment Rate,1999 April,15 - 74 years,Male,6.0
Seasonally Adjusted Monthly Unemployment Rate,1999 April,15 - 74 years,Female,6.3
Seasonally Adjusted Monthly Unemployment Rate,1999 April,25 - 74 years,Both sexes,5.2
Seasonally Adjusted Monthly Unemployment Rate,1999 April,25 - 74 years,Male,5.0
Seasonally Adjusted Monthly Unemployment Rate,1999 April,25 - 74 years,Female,5.5
Seasonally Adjusted Monthly Unemployment Rate,1999 May,15 - 24 years,Both sexes,8.8
Seasonally Adjusted Monthly Unemployment Rate,1999 May,15 - 24 years,Male,9.1
Seasonally Adjusted Monthly Unemployment Rate,1999 May,15 - 24 years,Female,8.4
Seasonally Adjusted Monthly Unemployment Rate,1999 May,15 - 74 years,Both sexes,6.1
Seasonally Adjusted Monthly Unemployment Rate,1999 May,15 - 74 years,Male,5.9
Seasonally Adjusted Monthly Unemployment Rate,1999 May,15 - 74 years,Female,6.3
Seasonally Adjusted Monthly Unemployment Rate,1999 May,25 - 74 years,Both sexes,5.2
Seasonally Adjusted Monthly Unemployment Rate,1999 May,25 - 74 years,Male,5.0
Seasonally Adjusted Monthly Unemployment Rate,1999 May,25 - 74 years,Female,5.6
Seasonally Adjusted Monthly Unemployment Rate,1999 June,15 - 24 years,Both sexes,8.5
Seasonally Adjusted Monthly Unemployment Rate,1999 June,15 - 24 years,Male,8.8
Seasonally Adjusted Monthly Unemployment Rate,1999 June,15 - 24 years,Female,8.2
Seasonally Adjusted Monthly Unemployment Rate,1999 June,15 - 74 years,Both sexes,5.8
Seasonally Adjusted Monthly Unemployment Rate,1999 June,15 - 74 years,Male,5.6
Seasonally Adjusted Monthly Unemployment Rate,1999 June,15 - 74 years,Female,6.1
Seasonally Adjusted Monthly Unemployment Rate,1999 June,25 - 74 years,Both sexes,5.0
Seasonally Adjusted Monthly Unemployment Rate,1999 June,25 - 74 years,Male,4.8
Seasonally Adjusted Monthly Unemployment Rate,1999 June,25 - 74 years,Female,5.3
Seasonally Adjusted Monthly Unemployment Rate,1999 July,15 - 24 years,Both sexes,8.2
Seasonally Adjusted Monthly Unemployment Rate,1999 July,15 - 24 years,Male,8.4
Seasonally Adjusted Monthly Unemployment Rate,1999 July,15 - 24 years,Female,8.0
Seasonally Adjusted Monthly Unemployment Rate,1999 July,15 - 74 years,Both sexes,5.6
Seasonally Adjusted Monthly Unemployment Rate,1999 July,15 - 74 years,Male,5.4
Seasonally Adjusted Monthly Unemployment Rate,1999 July,15 - 74 years,Female,5.8
Seasonally Adjusted Monthly Unemployment Rate,1999 July,25 - 74 years,Both sexes,4.7
Seasonally Adjusted Monthly Unemployment Rate,1999 July,25 - 74 years,Male,4.5
Seasonally Adjusted Monthly Unemployment Rate,1999 July,25 - 74 years,Female,5.0
Seasonally Adjusted Monthly Unemployment Rate,1999 August,15 - 24 years,Both sexes,8.0
Seasonally Adjusted Monthly Unemployment Rate,1999 August,15 - 24 years,Male,8.2
Seasonally Adjusted Monthly Unemployment Rate,1999 August,15 - 24 years,Female,7.8
Seasonally Adjusted Monthly Unemployment Rate,1999 August,15 - 74 years,Both sexes,5.3
Seasonally Adjusted Monthly Unemployment Rate,1999 August,15 - 74 years,Male,5.1
Seasonally Adjusted Monthly Unemployment Rate,1999 August,15 - 74 years,Female,5.7
Seasonally Adjusted Monthly Unemployment Rate,1999 August,25 - 74 years,Both sexes,4.5
Seasonally Adjusted Monthly Unemployment Rate,1999 August,25 - 74 years,Male,4.3
Seasonally Adjusted Monthly Unemployment Rate,1999 August,25 - 74 years,Female,4.9
Seasonally Adjusted Monthly Unemployment Rate,1999 September,15 - 24 years,Both sexes,8.0
Seasonally Adjusted Monthly Unemployment Rate,1999 September,15 - 24 years,Male,8.2
Seasonally Adjusted Monthly Unemployment Rate,1999 September,15 - 24 years,Female,7.7
Seasonally Adjusted Monthly Unemployment Rate,1999 September,15 - 74 years,Both sexes,5.4
Seasonally Adjusted Monthly Unemployment Rate,1999 September,15 - 74 years,Male,5.1
Seasonally Adjusted Monthly Unemployment Rate,1999 September,15 - 74 years,Female,5.8
Seasonally Adjusted Monthly Unemployment Rate,1999 September,25 - 74 years,Both sexes,4.6
Seasonally Adjusted Monthly Unemployment Rate,1999 September,25 - 74 years,Male,4.2
Seasonally Adjusted Monthly Unemployment Rate,1999 September,25 - 74 years,Female,5.1
Seasonally Adjusted Monthly Unemployment Rate,1999 October,15 - 24 years,Both sexes,7.8
Seasonally Adjusted Monthly Unemployment Rate,1999 October,15 - 24 years,Male,8.1
Seasonally Adjusted Monthly Unemployment Rate,1999 October,15 - 24 years,Female,7.3
Seasonally Adjusted Monthly Unemployment Rate,1999 October,15 - 74 years,Both sexes,5.4
Seasonally Adjusted Monthly Unemployment Rate,1999 October,15 - 74 years,Male,5.0
Seasonally Adjusted Monthly Unemployment Rate,1999 October,15 - 74 years,Female,5.9
Seasonally Adjusted Monthly Unemployment Rate,1999 October,25 - 74 years,Both sexes,4.7
Seasonally Adjusted Monthly Unemployment Rate,1999 October,25 - 74 years,Male,4.2
Seasonally Adjusted Monthly Unemployment Rate,1999 October,25 - 74 years,Female,5.4
Seasonally Adjusted Monthly Unemployment Rate,1999 November,15 - 24 years,Both sexes,7.6
Seasonally Adjusted Monthly Unemployment Rate,1999 November,15 - 24 years,Male,7.9
Seasonally Adjusted Monthly Unemployment Rate,1999 November,15 - 24 years,Female,7.2
Seasonally Adjusted Monthly Unemployment Rate,1999 November,15 - 74 years,Both sexes,5.3
Seasonally Adjusted Monthly Unemployment Rate,1999 November,15 - 74 years,Male,4.9
Seasonally Adjusted Monthly Unemployment Rate,1999 November,15 - 74 years,Female,5.8
Seasonally Adjusted Monthly Unemployment Rate,1999 November,25 - 74 years,Both sexes,4.6
