Statistic,Month,NACE.Group,value
Retail Sales Index Value Adjusted,2015 September,"Retail sale of electrical goods (4741 to 4743,4754)",99.8
Retail Sales Index Value Adjusted,2015 September,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",100.3
Retail Sales Index Value Adjusted,2015 September,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",100.4
Retail Sales Index Value Adjusted,2015 September,"Other retail sales (4753,4763 to 4765,4776 to 4778)",97.8
Retail Sales Index Value Adjusted,2015 September,"Retail sale of books, newspapers and stationery (4761,4762)",105.4
Retail Sales Index Value Adjusted,2015 September,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",100.7
Retail Sales Index Value Adjusted,2015 October,Motor trades (45),106.4
Retail Sales Index Value Adjusted,2015 October,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",102.0
Retail Sales Index Value Adjusted,2015 October,Department stores (4719),99.4
Retail Sales Index Value Adjusted,2015 October,Retail sale of automotive fuel (4730),96.7
Retail Sales Index Value Adjusted,2015 October,"Retail sale of hardware, paints and glass (4752)",99.6
Retail Sales Index Value Adjusted,2015 October,Retail sale of furniture and lighting (4759),102.9
Retail Sales Index Value Adjusted,2015 October,Bars (5630),101.0
Retail Sales Index Value Adjusted,2015 October,All retail businesses,102.3
Retail Sales Index Value Adjusted,2015 October,"Motor trades and automotive fuel (45,4730)",104.5
Retail Sales Index Value Adjusted,2015 October,"All retail businesses, excluding motor trades and bars",100.3
Retail Sales Index Value Adjusted,2015 October,"All retail businesses, excluding motor trades",100.4
Retail Sales Index Value Adjusted,2015 October,"All retail businesses, excluding motor trades, automotive fuel and bars",100.6
Retail Sales Index Value Adjusted,2015 October,"Retail sale of food (4711,4721 to 4729)",101.8
Retail Sales Index Value Adjusted,2015 October,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",99.6
Retail Sales Index Value Adjusted,2015 October,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",99.2
Retail Sales Index Value Adjusted,2015 October,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",101.1
Retail Sales Index Value Adjusted,2015 October,"Retail sale of electrical goods (4741 to 4743,4754)",99.4
Retail Sales Index Value Adjusted,2015 October,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",100.0
Retail Sales Index Value Adjusted,2015 October,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",96.9
Retail Sales Index Value Adjusted,2015 October,"Other retail sales (4753,4763 to 4765,4776 to 4778)",96.6
Retail Sales Index Value Adjusted,2015 October,"Retail sale of books, newspapers and stationery (4761,4762)",92.4
Retail Sales Index Value Adjusted,2015 October,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",97.3
Retail Sales Index Value Adjusted,2015 November,Motor trades (45),104.5
Retail Sales Index Value Adjusted,2015 November,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",102.5
Retail Sales Index Value Adjusted,2015 November,Department stores (4719),99.0
Retail Sales Index Value Adjusted,2015 November,Retail sale of automotive fuel (4730),94.6
Retail Sales Index Value Adjusted,2015 November,"Retail sale of hardware, paints and glass (4752)",100.0
Retail Sales Index Value Adjusted,2015 November,Retail sale of furniture and lighting (4759),102.7
Retail Sales Index Value Adjusted,2015 November,Bars (5630),99.6
Retail Sales Index Value Adjusted,2015 November,All retail businesses,100.9
Retail Sales Index Value Adjusted,2015 November,"Motor trades and automotive fuel (45,4730)",102.6
Retail Sales Index Value Adjusted,2015 November,"All retail businesses, excluding motor trades and bars",100.6
Retail Sales Index Value Adjusted,2015 November,"All retail businesses, excluding motor trades",100.7
Retail Sales Index Value Adjusted,2015 November,"All retail businesses, excluding motor trades, automotive fuel and bars",100.8
Retail Sales Index Value Adjusted,2015 November,"Retail sale of food (4711,4721 to 4729)",102.2
Retail Sales Index Value Adjusted,2015 November,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",99.4
Retail Sales Index Value Adjusted,2015 November,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",100.3
Retail Sales Index Value Adjusted,2015 November,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",102.0
Retail Sales Index Value Adjusted,2015 November,"Retail sale of electrical goods (4741 to 4743,4754)",99.1
Retail Sales Index Value Adjusted,2015 November,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",100.0
Retail Sales Index Value Adjusted,2015 November,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",96.3
Retail Sales Index Value Adjusted,2015 November,"Other retail sales (4753,4763 to 4765,4776 to 4778)",98.9
Retail Sales Index Value Adjusted,2015 November,"Retail sale of books, newspapers and stationery (4761,4762)",99.0
Retail Sales Index Value Adjusted,2015 November,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",101.1
Retail Sales Index Value Adjusted,2015 December,Motor trades (45),107.1
Retail Sales Index Value Adjusted,2015 December,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",102.8
Retail Sales Index Value Adjusted,2015 December,Department stores (4719),99.4
Retail Sales Index Value Adjusted,2015 December,Retail sale of automotive fuel (4730),100.9
Retail Sales Index Value Adjusted,2015 December,"Retail sale of hardware, paints and glass (4752)",104.9
Retail Sales Index Value Adjusted,2015 December,Retail sale of furniture and lighting (4759),110.3
Retail Sales Index Value Adjusted,2015 December,Bars (5630),101.8
Retail Sales Index Value Adjusted,2015 December,All retail businesses,102.8
Retail Sales Index Value Adjusted,2015 December,"Motor trades and automotive fuel (45,4730)",105.1
Retail Sales Index Value Adjusted,2015 December,"All retail businesses, excluding motor trades and bars",101.7
Retail Sales Index Value Adjusted,2015 December,"All retail businesses, excluding motor trades",101.9
Retail Sales Index Value Adjusted,2015 December,"All retail businesses, excluding motor trades, automotive fuel and bars",101.6
Retail Sales Index Value Adjusted,2015 December,"Retail sale of food (4711,4721 to 4729)",103.0
Retail Sales Index Value Adjusted,2015 December,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",101.0
Retail Sales Index Value Adjusted,2015 December,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",104.8
Retail Sales Index Value Adjusted,2015 December,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",104.3
Retail Sales Index Value Adjusted,2015 December,"Retail sale of electrical goods (4741 to 4743,4754)",99.3
Retail Sales Index Value Adjusted,2015 December,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",100.2
Retail Sales Index Value Adjusted,2015 December,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",100.3
Retail Sales Index Value Adjusted,2015 December,"Other retail sales (4753,4763 to 4765,4776 to 4778)",104.0
Retail Sales Index Value Adjusted,2015 December,"Retail sale of books, newspapers and stationery (4761,4762)",98.8
Retail Sales Index Value Adjusted,2015 December,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",102.2
Retail Sales Index Value Adjusted,2016 January,Motor trades (45),114.4
Retail Sales Index Value Adjusted,2016 January,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",102.3
Retail Sales Index Value Adjusted,2016 January,Department stores (4719),96.6
Retail Sales Index Value Adjusted,2016 January,Retail sale of automotive fuel (4730),92.1
Retail Sales Index Value Adjusted,2016 January,"Retail sale of hardware, paints and glass (4752)",103.3
Retail Sales Index Value Adjusted,2016 January,Retail sale of furniture and lighting (4759),102.2
Retail Sales Index Value Adjusted,2016 January,Bars (5630),102.3
Retail Sales Index Value Adjusted,2016 January,All retail businesses,105.6
Retail Sales Index Value Adjusted,2016 January,"Motor trades and automotive fuel (45,4730)",112.3
Retail Sales Index Value Adjusted,2016 January,"All retail businesses, excluding motor trades and bars",99.2
Retail Sales Index Value Adjusted,2016 January,"All retail businesses, excluding motor trades",99.7
Retail Sales Index Value Adjusted,2016 January,"All retail businesses, excluding motor trades, automotive fuel and bars",99.6
Retail Sales Index Value Adjusted,2016 January,"Retail sale of food (4711,4721 to 4729)",101.9
Retail Sales Index Value Adjusted,2016 January,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",98.5
Retail Sales Index Value Adjusted,2016 January,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",96.3
Retail Sales Index Value Adjusted,2016 January,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",99.7
Retail Sales Index Value Adjusted,2016 January,"Retail sale of electrical goods (4741 to 4743,4754)",96.5
Retail Sales Index Value Adjusted,2016 January,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",102.7
Retail Sales Index Value Adjusted,2016 January,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",92.8
Retail Sales Index Value Adjusted,2016 January,"Other retail sales (4753,4763 to 4765,4776 to 4778)",92.4
Retail Sales Index Value Adjusted,2016 January,"Retail sale of books, newspapers and stationery (4761,4762)",97.3
Retail Sales Index Value Adjusted,2016 January,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",99.6
Retail Sales Index Value Adjusted,2016 February,Motor trades (45),120.6
Retail Sales Index Value Adjusted,2016 February,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",102.7
Retail Sales Index Value Adjusted,2016 February,Department stores (4719),95.3
Retail Sales Index Value Adjusted,2016 February,Retail sale of automotive fuel (4730),92.3
Retail Sales Index Value Adjusted,2016 February,"Retail sale of hardware, paints and glass (4752)",101.5
Retail Sales Index Value Adjusted,2016 February,Retail sale of furniture and lighting (4759),103.4
Retail Sales Index Value Adjusted,2016 February,Bars (5630),100.9
Retail Sales Index Value Adjusted,2016 February,All retail businesses,109.0
Retail Sales Index Value Adjusted,2016 February,"Motor trades and automotive fuel (45,4730)",118.7
Retail Sales Index Value Adjusted,2016 February,"All retail businesses, excluding motor trades and bars",100.7
Retail Sales Index Value Adjusted,2016 February,"All retail businesses, excluding motor trades",100.6
Retail Sales Index Value Adjusted,2016 February,"All retail businesses, excluding motor trades, automotive fuel and bars",101.3
Retail Sales Index Value Adjusted,2016 February,"Retail sale of food (4711,4721 to 4729)",102.5
Retail Sales Index Value Adjusted,2016 February,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",100.0
Retail Sales Index Value Adjusted,2016 February,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",99.8
Retail Sales Index Value Adjusted,2016 February,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",101.9
Retail Sales Index Value Adjusted,2016 February,"Retail sale of electrical goods (4741 to 4743,4754)",98.9
Retail Sales Index Value Adjusted,2016 February,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",102.8
Retail Sales Index Value Adjusted,2016 February,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",96.8
Retail Sales Index Value Adjusted,2016 February,"Other retail sales (4753,4763 to 4765,4776 to 4778)",96.0
Retail Sales Index Value Adjusted,2016 February,"Retail sale of books, newspapers and stationery (4761,4762)",97.3
Retail Sales Index Value Adjusted,2016 February,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",102.3
Retail Sales Index Value Adjusted,2016 March,Motor trades (45),114.1
Retail Sales Index Value Adjusted,2016 March,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",101.5
Retail Sales Index Value Adjusted,2016 March,Department stores (4719),96.2
Retail Sales Index Value Adjusted,2016 March,Retail sale of automotive fuel (4730),89.9
Retail Sales Index Value Adjusted,2016 March,"Retail sale of hardware, paints and glass (4752)",103.3
Retail Sales Index Value Adjusted,2016 March,Retail sale of furniture and lighting (4759),103.6
Retail Sales Index Value Adjusted,2016 March,Bars (5630),100.2
Retail Sales Index Value Adjusted,2016 March,All retail businesses,104.3
Retail Sales Index Value Adjusted,2016 March,"Motor trades and automotive fuel (45,4730)",112.8
Retail Sales Index Value Adjusted,2016 March,"All retail businesses, excluding motor trades and bars",100.5
Retail Sales Index Value Adjusted,2016 March,"All retail businesses, excluding motor trades",100.6
Retail Sales Index Value Adjusted,2016 March,"All retail businesses, excluding motor trades, automotive fuel and bars",100.8
Retail Sales Index Value Adjusted,2016 March,"Retail sale of food (4711,4721 to 4729)",101.4
Retail Sales Index Value Adjusted,2016 March,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",101.1
Retail Sales Index Value Adjusted,2016 March,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",100.5
Retail Sales Index Value Adjusted,2016 March,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",101.3
Retail Sales Index Value Adjusted,2016 March,"Retail sale of electrical goods (4741 to 4743,4754)",99.0
Retail Sales Index Value Adjusted,2016 March,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",102.8
Retail Sales Index Value Adjusted,2016 March,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",98.3
Retail Sales Index Value Adjusted,2016 March,"Other retail sales (4753,4763 to 4765,4776 to 4778)",98.1
Retail Sales Index Value Adjusted,2016 March,"Retail sale of books, newspapers and stationery (4761,4762)",99.5
Retail Sales Index Value Adjusted,2016 March,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",102.6
Retail Sales Index Value Adjusted,2016 April,Motor trades (45),113.7
Retail Sales Index Value Adjusted,2016 April,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",103.1
Retail Sales Index Value Adjusted,2016 April,Department stores (4719),94.3
Retail Sales Index Value Adjusted,2016 April,Retail sale of automotive fuel (4730),92.3
Retail Sales Index Value Adjusted,2016 April,"Retail sale of hardware, paints and glass (4752)",105.7
Retail Sales Index Value Adjusted,2016 April,Retail sale of furniture and lighting (4759),102.4
Retail Sales Index Value Adjusted,2016 April,Bars (5630),101.5
Retail Sales Index Value Adjusted,2016 April,All retail businesses,104.5
Retail Sales Index Value Adjusted,2016 April,"Motor trades and automotive fuel (45,4730)",111.3
Retail Sales Index Value Adjusted,2016 April,"All retail businesses, excluding motor trades and bars",100.8
Retail Sales Index Value Adjusted,2016 April,"All retail businesses, excluding motor trades",100.8
Retail Sales Index Value Adjusted,2016 April,"All retail businesses, excluding motor trades, automotive fuel and bars",101.4
Retail Sales Index Value Adjusted,2016 April,"Retail sale of food (4711,4721 to 4729)",102.6
Retail Sales Index Value Adjusted,2016 April,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",99.2
Retail Sales Index Value Adjusted,2016 April,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",98.6
Retail Sales Index Value Adjusted,2016 April,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",101.3
Retail Sales Index Value Adjusted,2016 April,"Retail sale of electrical goods (4741 to 4743,4754)",102.1
Retail Sales Index Value Adjusted,2016 April,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",102.9
Retail Sales Index Value Adjusted,2016 April,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",98.1
Retail Sales Index Value Adjusted,2016 April,"Other retail sales (4753,4763 to 4765,4776 to 4778)",96.1
Retail Sales Index Value Adjusted,2016 April,"Retail sale of books, newspapers and stationery (4761,4762)",98.0
Retail Sales Index Value Adjusted,2016 April,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",100.9
Retail Sales Index Value Adjusted,2016 May,Motor trades (45),111.3
Retail Sales Index Value Adjusted,2016 May,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",101.9
Retail Sales Index Value Adjusted,2016 May,Department stores (4719),94.2
Retail Sales Index Value Adjusted,2016 May,Retail sale of automotive fuel (4730),96.4
Retail Sales Index Value Adjusted,2016 May,"Retail sale of hardware, paints and glass (4752)",106.2
Retail Sales Index Value Adjusted,2016 May,Retail sale of furniture and lighting (4759),104.0
Retail Sales Index Value Adjusted,2016 May,Bars (5630),104.5
Retail Sales Index Value Adjusted,2016 May,All retail businesses,104.5
Retail Sales Index Value Adjusted,2016 May,"Motor trades and automotive fuel (45,4730)",110.1
Retail Sales Index Value Adjusted,2016 May,"All retail businesses, excluding motor trades and bars",101.2
Retail Sales Index Value Adjusted,2016 May,"All retail businesses, excluding motor trades",101.7
Retail Sales Index Value Adjusted,2016 May,"All retail businesses, excluding motor trades, automotive fuel and bars",101.8
Retail Sales Index Value Adjusted,2016 May,"Retail sale of food (4711,4721 to 4729)",101.8
Retail Sales Index Value Adjusted,2016 May,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",100.7
Retail Sales Index Value Adjusted,2016 May,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",100.6
Retail Sales Index Value Adjusted,2016 May,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",103.3
Retail Sales Index Value Adjusted,2016 May,"Retail sale of electrical goods (4741 to 4743,4754)",102.1
Retail Sales Index Value Adjusted,2016 May,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",104.0
Retail Sales Index Value Adjusted,2016 May,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",97.6
Retail Sales Index Value Adjusted,2016 May,"Other retail sales (4753,4763 to 4765,4776 to 4778)",96.2
Retail Sales Index Value Adjusted,2016 May,"Retail sale of books, newspapers and stationery (4761,4762)",101.4
Retail Sales Index Value Adjusted,2016 May,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",102.0
Retail Sales Index Value Adjusted,2016 June,Motor trades (45),106.2
Retail Sales Index Value Adjusted,2016 June,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",102.1
Retail Sales Index Value Adjusted,2016 June,Department stores (4719),93.6
Retail Sales Index Value Adjusted,2016 June,Retail sale of automotive fuel (4730),97.3
Retail Sales Index Value Adjusted,2016 June,"Retail sale of hardware, paints and glass (4752)",102.4
Retail Sales Index Value Adjusted,2016 June,Retail sale of furniture and lighting (4759),103.8
Retail Sales Index Value Adjusted,2016 June,Bars (5630),104.5
Retail Sales Index Value Adjusted,2016 June,All retail businesses,103.1
Retail Sales Index Value Adjusted,2016 June,"Motor trades and automotive fuel (45,4730)",106.5
Retail Sales Index Value Adjusted,2016 June,"All retail businesses, excluding motor trades and bars",101.4
Retail Sales Index Value Adjusted,2016 June,"All retail businesses, excluding motor trades",101.6
Retail Sales Index Value Adjusted,2016 June,"All retail businesses, excluding motor trades, automotive fuel and bars",101.7
Retail Sales Index Value Adjusted,2016 June,"Retail sale of food (4711,4721 to 4729)",102.3
Retail Sales Index Value Adjusted,2016 June,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",101.2
Retail Sales Index Value Adjusted,2016 June,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",103.7
Retail Sales Index Value Adjusted,2016 June,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",102.1
Retail Sales Index Value Adjusted,2016 June,"Retail sale of electrical goods (4741 to 4743,4754)",102.3
Retail Sales Index Value Adjusted,2016 June,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",104.9
Retail Sales Index Value Adjusted,2016 June,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",98.5
Retail Sales Index Value Adjusted,2016 June,"Other retail sales (4753,4763 to 4765,4776 to 4778)",97.4
Retail Sales Index Value Adjusted,2016 June,"Retail sale of books, newspapers and stationery (4761,4762)",101.4
Retail Sales Index Value Adjusted,2016 June,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",102.3
Retail Sales Index Value Adjusted,2016 July,Motor trades (45),119.7
Retail Sales Index Value Adjusted,2016 July,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",103.1
Retail Sales Index Value Adjusted,2016 July,Department stores (4719),92.0
Retail Sales Index Value Adjusted,2016 July,Retail sale of automotive fuel (4730),95.1
Retail Sales Index Value Adjusted,2016 July,"Retail sale of hardware, paints and glass (4752)",102.7
Retail Sales Index Value Adjusted,2016 July,Retail sale of furniture and lighting (4759),106.0
Retail Sales Index Value Adjusted,2016 July,Bars (5630),104.9
Retail Sales Index Value Adjusted,2016 July,All retail businesses,107.2
Retail Sales Index Value Adjusted,2016 July,"Motor trades and automotive fuel (45,4730)",117.2
Retail Sales Index Value Adjusted,2016 July,"All retail businesses, excluding motor trades and bars",100.7
Retail Sales Index Value Adjusted,2016 July,"All retail businesses, excluding motor trades",100.9
Retail Sales Index Value Adjusted,2016 July,"All retail businesses, excluding motor trades, automotive fuel and bars",101.0
Retail Sales Index Value Adjusted,2016 July,"Retail sale of food (4711,4721 to 4729)",102.8
Retail Sales Index Value Adjusted,2016 July,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",99.5
Retail Sales Index Value Adjusted,2016 July,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",99.2
Retail Sales Index Value Adjusted,2016 July,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",101.7
Retail Sales Index Value Adjusted,2016 July,"Retail sale of electrical goods (4741 to 4743,4754)",100.2
Retail Sales Index Value Adjusted,2016 July,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",101.7
Retail Sales Index Value Adjusted,2016 July,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",96.7
Retail Sales Index Value Adjusted,2016 July,"Other retail sales (4753,4763 to 4765,4776 to 4778)",95.7
Retail Sales Index Value Adjusted,2016 July,"Retail sale of books, newspapers and stationery (4761,4762)",97.4
Retail Sales Index Value Adjusted,2016 July,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",101.3
Retail Sales Index Value Adjusted,2016 August,Motor trades (45),113.7
Retail Sales Index Value Adjusted,2016 August,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",102.8
Retail Sales Index Value Adjusted,2016 August,Department stores (4719),94.3
Retail Sales Index Value Adjusted,2016 August,Retail sale of automotive fuel (4730),99.9
Retail Sales Index Value Adjusted,2016 August,"Retail sale of hardware, paints and glass (4752)",106.6
Retail Sales Index Value Adjusted,2016 August,Retail sale of furniture and lighting (4759),108.4
Retail Sales Index Value Adjusted,2016 August,Bars (5630),99.6
Retail Sales Index Value Adjusted,2016 August,All retail businesses,104.8
Retail Sales Index Value Adjusted,2016 August,"Motor trades and automotive fuel (45,4730)",111.7
Retail Sales Index Value Adjusted,2016 August,"All retail businesses, excluding motor trades and bars",101.5
Retail Sales Index Value Adjusted,2016 August,"All retail businesses, excluding motor trades",101.3
Retail Sales Index Value Adjusted,2016 August,"All retail businesses, excluding motor trades, automotive fuel and bars",101.6
Retail Sales Index Value Adjusted,2016 August,"Retail sale of food (4711,4721 to 4729)",102.5
Retail Sales Index Value Adjusted,2016 August,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",101.0
Retail Sales Index Value Adjusted,2016 August,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",99.6
Retail Sales Index Value Adjusted,2016 August,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",103.9
Retail Sales Index Value Adjusted,2016 August,"Retail sale of electrical goods (4741 to 4743,4754)",101.5
Retail Sales Index Value Adjusted,2016 August,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",102.0
Retail Sales Index Value Adjusted,2016 August,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",97.7
Retail Sales Index Value Adjusted,2016 August,"Other retail sales (4753,4763 to 4765,4776 to 4778)",95.5
Retail Sales Index Value Adjusted,2016 August,"Retail sale of books, newspapers and stationery (4761,4762)",99.0
Retail Sales Index Value Adjusted,2016 August,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",103.6
Retail Sales Index Value Adjusted,2016 September,Motor trades (45),109.2
Retail Sales Index Value Adjusted,2016 September,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",101.7
Retail Sales Index Value Adjusted,2016 September,Department stores (4719),94.2
Retail Sales Index Value Adjusted,2016 September,Retail sale of automotive fuel (4730),95.8
Retail Sales Index Value Adjusted,2016 September,"Retail sale of hardware, paints and glass (4752)",102.5
Retail Sales Index Value Adjusted,2016 September,Retail sale of furniture and lighting (4759),109.5
Retail Sales Index Value Adjusted,2016 September,Bars (5630),103.5
Retail Sales Index Value Adjusted,2016 September,All retail businesses,103.4
Retail Sales Index Value Adjusted,2016 September,"Motor trades and automotive fuel (45,4730)",106.7
Retail Sales Index Value Adjusted,2016 September,"All retail businesses, excluding motor trades and bars",100.5
Retail Sales Index Value Adjusted,2016 September,"All retail businesses, excluding motor trades",100.5
Retail Sales Index Value Adjusted,2016 September,"All retail businesses, excluding motor trades, automotive fuel and bars",101.0
Retail Sales Index Value Adjusted,2016 September,"Retail sale of food (4711,4721 to 4729)",101.5
Retail Sales Index Value Adjusted,2016 September,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",99.9
Retail Sales Index Value Adjusted,2016 September,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",97.8
Retail Sales Index Value Adjusted,2016 September,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",103.7
Retail Sales Index Value Adjusted,2016 September,"Retail sale of electrical goods (4741 to 4743,4754)",101.4
Retail Sales Index Value Adjusted,2016 September,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",102.2
Retail Sales Index Value Adjusted,2016 September,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",94.1
Retail Sales Index Value Adjusted,2016 September,"Other retail sales (4753,4763 to 4765,4776 to 4778)",94.6
Retail Sales Index Value Adjusted,2016 September,"Retail sale of books, newspapers and stationery (4761,4762)",98.1
Retail Sales Index Value Adjusted,2016 September,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",102.4
Retail Sales Index Value Adjusted,2016 October,Motor trades (45),109.7
Retail Sales Index Value Adjusted,2016 October,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",102.7
Retail Sales Index Value Adjusted,2016 October,Department stores (4719),95.4
Retail Sales Index Value Adjusted,2016 October,Retail sale of automotive fuel (4730),98.1
Retail Sales Index Value Adjusted,2016 October,"Retail sale of hardware, paints and glass (4752)",104.7
Retail Sales Index Value Adjusted,2016 October,Retail sale of furniture and lighting (4759),108.0
Retail Sales Index Value Adjusted,2016 October,Bars (5630),106.1
Retail Sales Index Value Adjusted,2016 October,All retail businesses,103.4
Retail Sales Index Value Adjusted,2016 October,"Motor trades and automotive fuel (45,4730)",106.1
Retail Sales Index Value Adjusted,2016 October,"All retail businesses, excluding motor trades and bars",101.1
Retail Sales Index Value Adjusted,2016 October,"All retail businesses, excluding motor trades",101.4
Retail Sales Index Value Adjusted,2016 October,"All retail businesses, excluding motor trades, automotive fuel and bars",101.5
Retail Sales Index Value Adjusted,2016 October,"Retail sale of food (4711,4721 to 4729)",102.3
Retail Sales Index Value Adjusted,2016 October,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",100.9
Retail Sales Index Value Adjusted,2016 October,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",98.6
Retail Sales Index Value Adjusted,2016 October,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",103.2
Retail Sales Index Value Adjusted,2016 October,"Retail sale of electrical goods (4741 to 4743,4754)",100.6
Retail Sales Index Value Adjusted,2016 October,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",103.5
Retail Sales Index Value Adjusted,2016 October,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",100.5
Retail Sales Index Value Adjusted,2016 October,"Other retail sales (4753,4763 to 4765,4776 to 4778)",100.9
Retail Sales Index Value Adjusted,2016 October,"Retail sale of books, newspapers and stationery (4761,4762)",94.9
Retail Sales Index Value Adjusted,2016 October,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",96.5
Retail Sales Index Value Adjusted,2016 November,Motor trades (45),109.6
