,Statistic,Month,NACE.Rev.2.Sector,value
4729,Services Index Volume (Seasonally Adjusted),2015M02,"Food Service Activities (561, 562)",109.5
4730,Services Index Volume (Seasonally Adjusted),2015M03,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),100.0
4731,Services Index Volume (Seasonally Adjusted),2015M03,Transportation & Storage (H),97.2
4732,Services Index Volume (Seasonally Adjusted),2015M03,Accommodation & Food Service Activities (I),98.6
4733,Services Index Volume (Seasonally Adjusted),2015M03,Information & Communication (J),91.9
4734,Services Index Volume (Seasonally Adjusted),2015M03,"Professional, Scientific & Technical Activities (M)",97.0
4735,Services Index Volume (Seasonally Adjusted),2015M03,Administrative & Support Service Activities (N (excl. 7735)),101.9
4736,Services Index Volume (Seasonally Adjusted),2015M03,"Other Service Activities (L, 92, 93, 95, 96)",104.7
4737,Services Index Volume (Seasonally Adjusted),2015M03,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",98.3
4738,Services Index Volume (Seasonally Adjusted),2015M03,Wholesale Trade (46),100.5
4739,Services Index Volume (Seasonally Adjusted),2015M03,Accommodation (55),97.5
4740,Services Index Volume (Seasonally Adjusted),2015M03,"Food Service Activities (561, 562)",99.7
4741,Services Index Volume (Seasonally Adjusted),2015M04,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),99.7
4742,Services Index Volume (Seasonally Adjusted),2015M04,Transportation & Storage (H),94.4
4743,Services Index Volume (Seasonally Adjusted),2015M04,Accommodation & Food Service Activities (I),99.3
4744,Services Index Volume (Seasonally Adjusted),2015M04,Information & Communication (J),97.2
4745,Services Index Volume (Seasonally Adjusted),2015M04,"Professional, Scientific & Technical Activities (M)",98.3
4746,Services Index Volume (Seasonally Adjusted),2015M04,Administrative & Support Service Activities (N (excl. 7735)),102.1
4747,Services Index Volume (Seasonally Adjusted),2015M04,"Other Service Activities (L, 92, 93, 95, 96)",99.8
4748,Services Index Volume (Seasonally Adjusted),2015M04,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",97.1
4749,Services Index Volume (Seasonally Adjusted),2015M04,Wholesale Trade (46),101.1
4750,Services Index Volume (Seasonally Adjusted),2015M04,Accommodation (55),101.7
4751,Services Index Volume (Seasonally Adjusted),2015M04,"Food Service Activities (561, 562)",96.6
4752,Services Index Volume (Seasonally Adjusted),2015M05,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),100.7
4753,Services Index Volume (Seasonally Adjusted),2015M05,Transportation & Storage (H),94.5
4754,Services Index Volume (Seasonally Adjusted),2015M05,Accommodation & Food Service Activities (I),99.5
4755,Services Index Volume (Seasonally Adjusted),2015M05,Information & Communication (J),91.7
4756,Services Index Volume (Seasonally Adjusted),2015M05,"Professional, Scientific & Technical Activities (M)",96.5
4757,Services Index Volume (Seasonally Adjusted),2015M05,Administrative & Support Service Activities (N (excl. 7735)),104.9
4758,Services Index Volume (Seasonally Adjusted),2015M05,"Other Service Activities (L, 92, 93, 95, 96)",102.3
4759,Services Index Volume (Seasonally Adjusted),2015M05,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",98.0
4760,Services Index Volume (Seasonally Adjusted),2015M05,Wholesale Trade (46),103.1
4761,Services Index Volume (Seasonally Adjusted),2015M05,Accommodation (55),106.6
4762,Services Index Volume (Seasonally Adjusted),2015M05,"Food Service Activities (561, 562)",93.3
4763,Services Index Volume (Seasonally Adjusted),2015M06,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),101.6
4764,Services Index Volume (Seasonally Adjusted),2015M06,Transportation & Storage (H),99.6
4765,Services Index Volume (Seasonally Adjusted),2015M06,Accommodation & Food Service Activities (I),99.4
4766,Services Index Volume (Seasonally Adjusted),2015M06,Information & Communication (J),92.7
4767,Services Index Volume (Seasonally Adjusted),2015M06,"Professional, Scientific & Technical Activities (M)",103.8
4768,Services Index Volume (Seasonally Adjusted),2015M06,Administrative & Support Service Activities (N (excl. 7735)),103.3
4769,Services Index Volume (Seasonally Adjusted),2015M06,"Other Service Activities (L, 92, 93, 95, 96)",94.8
4770,Services Index Volume (Seasonally Adjusted),2015M06,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",99.1
4771,Services Index Volume (Seasonally Adjusted),2015M06,Wholesale Trade (46),100.8
4772,Services Index Volume (Seasonally Adjusted),2015M06,Accommodation (55),105.9
4773,Services Index Volume (Seasonally Adjusted),2015M06,"Food Service Activities (561, 562)",88.6
4774,Services Index Volume (Seasonally Adjusted),2015M07,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),100.7
4775,Services Index Volume (Seasonally Adjusted),2015M07,Transportation & Storage (H),103.7
4776,Services Index Volume (Seasonally Adjusted),2015M07,Accommodation & Food Service Activities (I),101.3
4777,Services Index Volume (Seasonally Adjusted),2015M07,Information & Communication (J),102.3
4778,Services Index Volume (Seasonally Adjusted),2015M07,"Professional, Scientific & Technical Activities (M)",97.9
4779,Services Index Volume (Seasonally Adjusted),2015M07,Administrative & Support Service Activities (N (excl. 7735)),93.8
4780,Services Index Volume (Seasonally Adjusted),2015M07,"Other Service Activities (L, 92, 93, 95, 96)",104.2
4781,Services Index Volume (Seasonally Adjusted),2015M07,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",100.7
4782,Services Index Volume (Seasonally Adjusted),2015M07,Wholesale Trade (46),102.4
4783,Services Index Volume (Seasonally Adjusted),2015M07,Accommodation (55),105.0
4784,Services Index Volume (Seasonally Adjusted),2015M07,"Food Service Activities (561, 562)",95.5
4785,Services Index Volume (Seasonally Adjusted),2015M08,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),102.0
4786,Services Index Volume (Seasonally Adjusted),2015M08,Transportation & Storage (H),107.0
4787,Services Index Volume (Seasonally Adjusted),2015M08,Accommodation & Food Service Activities (I),97.6
4788,Services Index Volume (Seasonally Adjusted),2015M08,Information & Communication (J),108.2
4789,Services Index Volume (Seasonally Adjusted),2015M08,"Professional, Scientific & Technical Activities (M)",95.0
4790,Services Index Volume (Seasonally Adjusted),2015M08,Administrative & Support Service Activities (N (excl. 7735)),100.2
4791,Services Index Volume (Seasonally Adjusted),2015M08,"Other Service Activities (L, 92, 93, 95, 96)",97.9
4792,Services Index Volume (Seasonally Adjusted),2015M08,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",105.1
4793,Services Index Volume (Seasonally Adjusted),2015M08,Wholesale Trade (46),102.8
4794,Services Index Volume (Seasonally Adjusted),2015M08,Accommodation (55),101.8
4795,Services Index Volume (Seasonally Adjusted),2015M08,"Food Service Activities (561, 562)",95.6
4796,Services Index Volume (Seasonally Adjusted),2015M09,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),98.6
4797,Services Index Volume (Seasonally Adjusted),2015M09,Transportation & Storage (H),101.6
4798,Services Index Volume (Seasonally Adjusted),2015M09,Accommodation & Food Service Activities (I),99.4
4799,Services Index Volume (Seasonally Adjusted),2015M09,Information & Communication (J),109.9
4800,Services Index Volume (Seasonally Adjusted),2015M09,"Professional, Scientific & Technical Activities (M)",99.0
4801,Services Index Volume (Seasonally Adjusted),2015M09,Administrative & Support Service Activities (N (excl. 7735)),98.6
4802,Services Index Volume (Seasonally Adjusted),2015M09,"Other Service Activities (L, 92, 93, 95, 96)",98.7
4803,Services Index Volume (Seasonally Adjusted),2015M09,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",100.3
4804,Services Index Volume (Seasonally Adjusted),2015M09,Wholesale Trade (46),98.1
4805,Services Index Volume (Seasonally Adjusted),2015M09,Accommodation (55),98.4
4806,Services Index Volume (Seasonally Adjusted),2015M09,"Food Service Activities (561, 562)",100.9
4807,Services Index Volume (Seasonally Adjusted),2015M10,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),102.2
4808,Services Index Volume (Seasonally Adjusted),2015M10,Transportation & Storage (H),102.5
4809,Services Index Volume (Seasonally Adjusted),2015M10,Accommodation & Food Service Activities (I),101.7
4810,Services Index Volume (Seasonally Adjusted),2015M10,Information & Communication (J),110.6
4811,Services Index Volume (Seasonally Adjusted),2015M10,"Professional, Scientific & Technical Activities (M)",100.6
4812,Services Index Volume (Seasonally Adjusted),2015M10,Administrative & Support Service Activities (N (excl. 7735)),95.2
4813,Services Index Volume (Seasonally Adjusted),2015M10,"Other Service Activities (L, 92, 93, 95, 96)",95.3
4814,Services Index Volume (Seasonally Adjusted),2015M10,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",105.2
4815,Services Index Volume (Seasonally Adjusted),2015M10,Wholesale Trade (46),99.8
4816,Services Index Volume (Seasonally Adjusted),2015M10,Accommodation (55),99.7
4817,Services Index Volume (Seasonally Adjusted),2015M10,"Food Service Activities (561, 562)",102.2
4818,Services Index Volume (Seasonally Adjusted),2015M11,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),101.7
4819,Services Index Volume (Seasonally Adjusted),2015M11,Transportation & Storage (H),97.7
4820,Services Index Volume (Seasonally Adjusted),2015M11,Accommodation & Food Service Activities (I),99.9
4821,Services Index Volume (Seasonally Adjusted),2015M11,Information & Communication (J),110.7
4822,Services Index Volume (Seasonally Adjusted),2015M11,"Professional, Scientific & Technical Activities (M)",103.1
4823,Services Index Volume (Seasonally Adjusted),2015M11,Administrative & Support Service Activities (N (excl. 7735)),98.0
4824,Services Index Volume (Seasonally Adjusted),2015M11,"Other Service Activities (L, 92, 93, 95, 96)",91.7
4825,Services Index Volume (Seasonally Adjusted),2015M11,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",104.2
4826,Services Index Volume (Seasonally Adjusted),2015M11,Wholesale Trade (46),101.2
4827,Services Index Volume (Seasonally Adjusted),2015M11,Accommodation (55),92.4
4828,Services Index Volume (Seasonally Adjusted),2015M11,"Food Service Activities (561, 562)",106.1
4829,Services Index Volume (Seasonally Adjusted),2015M12,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),100.9
4830,Services Index Volume (Seasonally Adjusted),2015M12,Transportation & Storage (H),97.7
4831,Services Index Volume (Seasonally Adjusted),2015M12,Accommodation & Food Service Activities (I),100.7
4832,Services Index Volume (Seasonally Adjusted),2015M12,Information & Communication (J),95.2
4833,Services Index Volume (Seasonally Adjusted),2015M12,"Professional, Scientific & Technical Activities (M)",106.1
4834,Services Index Volume (Seasonally Adjusted),2015M12,Administrative & Support Service Activities (N (excl. 7735)),97.5
4835,Services Index Volume (Seasonally Adjusted),2015M12,"Other Service Activities (L, 92, 93, 95, 96)",97.0
4836,Services Index Volume (Seasonally Adjusted),2015M12,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",94.6
4837,Services Index Volume (Seasonally Adjusted),2015M12,Wholesale Trade (46),97.7
4838,Services Index Volume (Seasonally Adjusted),2015M12,Accommodation (55),93.5
4839,Services Index Volume (Seasonally Adjusted),2015M12,"Food Service Activities (561, 562)",106.3
4840,Services Index Volume (Seasonally Adjusted),2016M01,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),103.2
4841,Services Index Volume (Seasonally Adjusted),2016M01,Transportation & Storage (H),97.6
4842,Services Index Volume (Seasonally Adjusted),2016M01,Accommodation & Food Service Activities (I),100.4
4843,Services Index Volume (Seasonally Adjusted),2016M01,Information & Communication (J),106.0
4844,Services Index Volume (Seasonally Adjusted),2016M01,"Professional, Scientific & Technical Activities (M)",109.7
4845,Services Index Volume (Seasonally Adjusted),2016M01,Administrative & Support Service Activities (N (excl. 7735)),111.8
4846,Services Index Volume (Seasonally Adjusted),2016M01,"Other Service Activities (L, 92, 93, 95, 96)",98.4
4847,Services Index Volume (Seasonally Adjusted),2016M01,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",105.1
4848,Services Index Volume (Seasonally Adjusted),2016M01,Wholesale Trade (46),101.1
4849,Services Index Volume (Seasonally Adjusted),2016M01,Accommodation (55),97.9
4850,Services Index Volume (Seasonally Adjusted),2016M01,"Food Service Activities (561, 562)",104.6
4851,Services Index Volume (Seasonally Adjusted),2016M02,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),101.5
4852,Services Index Volume (Seasonally Adjusted),2016M02,Transportation & Storage (H),101.1
4853,Services Index Volume (Seasonally Adjusted),2016M02,Accommodation & Food Service Activities (I),100.1
4854,Services Index Volume (Seasonally Adjusted),2016M02,Information & Communication (J),104.8
4855,Services Index Volume (Seasonally Adjusted),2016M02,"Professional, Scientific & Technical Activities (M)",109.7
4856,Services Index Volume (Seasonally Adjusted),2016M02,Administrative & Support Service Activities (N (excl. 7735)),99.7
4857,Services Index Volume (Seasonally Adjusted),2016M02,"Other Service Activities (L, 92, 93, 95, 96)",98.5
4858,Services Index Volume (Seasonally Adjusted),2016M02,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",104.5
4859,Services Index Volume (Seasonally Adjusted),2016M02,Wholesale Trade (46),97.5
4860,Services Index Volume (Seasonally Adjusted),2016M02,Accommodation (55),96.4
4861,Services Index Volume (Seasonally Adjusted),2016M02,"Food Service Activities (561, 562)",106.1
4862,Services Index Volume (Seasonally Adjusted),2016M03,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),101.0
4863,Services Index Volume (Seasonally Adjusted),2016M03,Transportation & Storage (H),99.9
4864,Services Index Volume (Seasonally Adjusted),2016M03,Accommodation & Food Service Activities (I),101.1
4865,Services Index Volume (Seasonally Adjusted),2016M03,Information & Communication (J),108.3
4866,Services Index Volume (Seasonally Adjusted),2016M03,"Professional, Scientific & Technical Activities (M)",108.3
4867,Services Index Volume (Seasonally Adjusted),2016M03,Administrative & Support Service Activities (N (excl. 7735)),98.3
4868,Services Index Volume (Seasonally Adjusted),2016M03,"Other Service Activities (L, 92, 93, 95, 96)",110.7
4869,Services Index Volume (Seasonally Adjusted),2016M03,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",104.5
4870,Services Index Volume (Seasonally Adjusted),2016M03,Wholesale Trade (46),98.3
4871,Services Index Volume (Seasonally Adjusted),2016M03,Accommodation (55),100.4
4872,Services Index Volume (Seasonally Adjusted),2016M03,"Food Service Activities (561, 562)",107.1
4873,Services Index Volume (Seasonally Adjusted),2016M04,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),101.0
4874,Services Index Volume (Seasonally Adjusted),2016M04,Transportation & Storage (H),96.8
4875,Services Index Volume (Seasonally Adjusted),2016M04,Accommodation & Food Service Activities (I),100.2
4876,Services Index Volume (Seasonally Adjusted),2016M04,Information & Communication (J),102.7
4877,Services Index Volume (Seasonally Adjusted),2016M04,"Professional, Scientific & Technical Activities (M)",112.0
4878,Services Index Volume (Seasonally Adjusted),2016M04,Administrative & Support Service Activities (N (excl. 7735)),98.9
4879,Services Index Volume (Seasonally Adjusted),2016M04,"Other Service Activities (L, 92, 93, 95, 96)",112.6
4880,Services Index Volume (Seasonally Adjusted),2016M04,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",103.6
4881,Services Index Volume (Seasonally Adjusted),2016M04,Wholesale Trade (46),95.5
4882,Services Index Volume (Seasonally Adjusted),2016M04,Accommodation (55),91.5
4883,Services Index Volume (Seasonally Adjusted),2016M04,"Food Service Activities (561, 562)",105.3
4884,Services Index Volume (Seasonally Adjusted),2016M05,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),100.9
4885,Services Index Volume (Seasonally Adjusted),2016M05,Transportation & Storage (H),99.8
4886,Services Index Volume (Seasonally Adjusted),2016M05,Accommodation & Food Service Activities (I),100.0
4887,Services Index Volume (Seasonally Adjusted),2016M05,Information & Communication (J),104.9
4888,Services Index Volume (Seasonally Adjusted),2016M05,"Professional, Scientific & Technical Activities (M)",109.1
4889,Services Index Volume (Seasonally Adjusted),2016M05,Administrative & Support Service Activities (N (excl. 7735)),97.4
4890,Services Index Volume (Seasonally Adjusted),2016M05,"Other Service Activities (L, 92, 93, 95, 96)",109.4
4891,Services Index Volume (Seasonally Adjusted),2016M05,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",103.6
4892,Services Index Volume (Seasonally Adjusted),2016M05,Wholesale Trade (46),97.2
4893,Services Index Volume (Seasonally Adjusted),2016M05,Accommodation (55),90.4
4894,Services Index Volume (Seasonally Adjusted),2016M05,"Food Service Activities (561, 562)",107.6
4895,Services Index Volume (Seasonally Adjusted),2016M06,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),100.9
4896,Services Index Volume (Seasonally Adjusted),2016M06,Transportation & Storage (H),109.7
4897,Services Index Volume (Seasonally Adjusted),2016M06,Accommodation & Food Service Activities (I),100.1
4898,Services Index Volume (Seasonally Adjusted),2016M06,Information & Communication (J),102.1
4899,Services Index Volume (Seasonally Adjusted),2016M06,"Professional, Scientific & Technical Activities (M)",109.2
4900,Services Index Volume (Seasonally Adjusted),2016M06,Administrative & Support Service Activities (N (excl. 7735)),92.6
4901,Services Index Volume (Seasonally Adjusted),2016M06,"Other Service Activities (L, 92, 93, 95, 96)",110.5
4902,Services Index Volume (Seasonally Adjusted),2016M06,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",102.5
4903,Services Index Volume (Seasonally Adjusted),2016M06,Wholesale Trade (46),98.9
4904,Services Index Volume (Seasonally Adjusted),2016M06,Accommodation (55),90.4
4905,Services Index Volume (Seasonally Adjusted),2016M06,"Food Service Activities (561, 562)",110.1
4906,Services Index Volume (Seasonally Adjusted),2016M07,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),102.6
4907,Services Index Volume (Seasonally Adjusted),2016M07,Transportation & Storage (H),98.6
4908,Services Index Volume (Seasonally Adjusted),2016M07,Accommodation & Food Service Activities (I),100.2
4909,Services Index Volume (Seasonally Adjusted),2016M07,Information & Communication (J),106.3
4910,Services Index Volume (Seasonally Adjusted),2016M07,"Professional, Scientific & Technical Activities (M)",98.1
4911,Services Index Volume (Seasonally Adjusted),2016M07,Administrative & Support Service Activities (N (excl. 7735)),97.6
4912,Services Index Volume (Seasonally Adjusted),2016M07,"Other Service Activities (L, 92, 93, 95, 96)",107.0
4913,Services Index Volume (Seasonally Adjusted),2016M07,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",103.5
4914,Services Index Volume (Seasonally Adjusted),2016M07,Wholesale Trade (46),100.2
4915,Services Index Volume (Seasonally Adjusted),2016M07,Accommodation (55),92.9
4916,Services Index Volume (Seasonally Adjusted),2016M07,"Food Service Activities (561, 562)",107.3
4917,Services Index Volume (Seasonally Adjusted),2016M08,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),102.4
4918,Services Index Volume (Seasonally Adjusted),2016M08,Transportation & Storage (H),98.9
4919,Services Index Volume (Seasonally Adjusted),2016M08,Accommodation & Food Service Activities (I),94.9
4920,Services Index Volume (Seasonally Adjusted),2016M08,Information & Communication (J),106.1
4921,Services Index Volume (Seasonally Adjusted),2016M08,"Professional, Scientific & Technical Activities (M)",103.4
4922,Services Index Volume (Seasonally Adjusted),2016M08,Administrative & Support Service Activities (N (excl. 7735)),97.2
4923,Services Index Volume (Seasonally Adjusted),2016M08,"Other Service Activities (L, 92, 93, 95, 96)",108.6
4924,Services Index Volume (Seasonally Adjusted),2016M08,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",103.4
4925,Services Index Volume (Seasonally Adjusted),2016M08,Wholesale Trade (46),99.6
4926,Services Index Volume (Seasonally Adjusted),2016M08,Accommodation (55),89.8
4927,Services Index Volume (Seasonally Adjusted),2016M08,"Food Service Activities (561, 562)",103.9
4928,Services Index Volume (Seasonally Adjusted),2016M09,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),103.3
4929,Services Index Volume (Seasonally Adjusted),2016M09,Transportation & Storage (H),102.5
4930,Services Index Volume (Seasonally Adjusted),2016M09,Accommodation & Food Service Activities (I),100.2
4931,Services Index Volume (Seasonally Adjusted),2016M09,Information & Communication (J),106.7
4932,Services Index Volume (Seasonally Adjusted),2016M09,"Professional, Scientific & Technical Activities (M)",105.7
4933,Services Index Volume (Seasonally Adjusted),2016M09,Administrative & Support Service Activities (N (excl. 7735)),96.9
4934,Services Index Volume (Seasonally Adjusted),2016M09,"Other Service Activities (L, 92, 93, 95, 96)",107.0
4935,Services Index Volume (Seasonally Adjusted),2016M09,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",104.1
4936,Services Index Volume (Seasonally Adjusted),2016M09,Wholesale Trade (46),104.2
4937,Services Index Volume (Seasonally Adjusted),2016M09,Accommodation (55),94.4
4938,Services Index Volume (Seasonally Adjusted),2016M09,"Food Service Activities (561, 562)",106.4
4939,Services Index Volume (Seasonally Adjusted),2016M10,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),102.9
4940,Services Index Volume (Seasonally Adjusted),2016M10,Transportation & Storage (H),102.9
4941,Services Index Volume (Seasonally Adjusted),2016M10,Accommodation & Food Service Activities (I),100.5
4942,Services Index Volume (Seasonally Adjusted),2016M10,Information & Communication (J),110.0
4943,Services Index Volume (Seasonally Adjusted),2016M10,"Professional, Scientific & Technical Activities (M)",101.5
4944,Services Index Volume (Seasonally Adjusted),2016M10,Administrative & Support Service Activities (N (excl. 7735)),99.0
4945,Services Index Volume (Seasonally Adjusted),2016M10,"Other Service Activities (L, 92, 93, 95, 96)",107.1
4946,Services Index Volume (Seasonally Adjusted),2016M10,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",106.3
4947,Services Index Volume (Seasonally Adjusted),2016M10,Wholesale Trade (46),102.9
4948,Services Index Volume (Seasonally Adjusted),2016M10,Accommodation (55),94.0
4949,Services Index Volume (Seasonally Adjusted),2016M10,"Food Service Activities (561, 562)",106.9
4950,Services Index Volume (Seasonally Adjusted),2016M11,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),102.8
4951,Services Index Volume (Seasonally Adjusted),2016M11,Transportation & Storage (H),100.2
4952,Services Index Volume (Seasonally Adjusted),2016M11,Accommodation & Food Service Activities (I),101.5
4953,Services Index Volume (Seasonally Adjusted),2016M11,Information & Communication (J),107.7
4954,Services Index Volume (Seasonally Adjusted),2016M11,"Professional, Scientific & Technical Activities (M)",116.8
4955,Services Index Volume (Seasonally Adjusted),2016M11,Administrative & Support Service Activities (N (excl. 7735)),98.3
4956,Services Index Volume (Seasonally Adjusted),2016M11,"Other Service Activities (L, 92, 93, 95, 96)",107.3
4957,Services Index Volume (Seasonally Adjusted),2016M11,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",104.1
4958,Services Index Volume (Seasonally Adjusted),2016M11,Wholesale Trade (46),102.7
4959,Services Index Volume (Seasonally Adjusted),2016M11,Accommodation (55),96.1
4960,Services Index Volume (Seasonally Adjusted),2016M11,"Food Service Activities (561, 562)",106.2
4961,Services Index Volume (Seasonally Adjusted),2016M12,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),104.9
4962,Services Index Volume (Seasonally Adjusted),2016M12,Transportation & Storage (H),95.9
4963,Services Index Volume (Seasonally Adjusted),2016M12,Accommodation & Food Service Activities (I),103.9
4964,Services Index Volume (Seasonally Adjusted),2016M12,Information & Communication (J),112.9
4965,Services Index Volume (Seasonally Adjusted),2016M12,"Professional, Scientific & Technical Activities (M)",107.6
4966,Services Index Volume (Seasonally Adjusted),2016M12,Administrative & Support Service Activities (N (excl. 7735)),104.8
4967,Services Index Volume (Seasonally Adjusted),2016M12,"Other Service Activities (L, 92, 93, 95, 96)",110.4
4968,Services Index Volume (Seasonally Adjusted),2016M12,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",105.0
4969,Services Index Volume (Seasonally Adjusted),2016M12,Wholesale Trade (46),104.5
4970,Services Index Volume (Seasonally Adjusted),2016M12,Accommodation (55),96.3
4971,Services Index Volume (Seasonally Adjusted),2016M12,"Food Service Activities (561, 562)",111.1
4972,Services Index Volume (Seasonally Adjusted),2017M01,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),103.9
4973,Services Index Volume (Seasonally Adjusted),2017M01,Transportation & Storage (H),98.1
4974,Services Index Volume (Seasonally Adjusted),2017M01,Accommodation & Food Service Activities (I),101.8
4975,Services Index Volume (Seasonally Adjusted),2017M01,Information & Communication (J),106.3
4976,Services Index Volume (Seasonally Adjusted),2017M01,"Professional, Scientific & Technical Activities (M)",102.2
4977,Services Index Volume (Seasonally Adjusted),2017M01,Administrative & Support Service Activities (N (excl. 7735)),105.0
4978,Services Index Volume (Seasonally Adjusted),2017M01,"Other Service Activities (L, 92, 93, 95, 96)",110.5
4979,Services Index Volume (Seasonally Adjusted),2017M01,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",103.9
4980,Services Index Volume (Seasonally Adjusted),2017M01,Wholesale Trade (46),99.7
4981,Services Index Volume (Seasonally Adjusted),2017M01,Accommodation (55),94.3
4982,Services Index Volume (Seasonally Adjusted),2017M01,"Food Service Activities (561, 562)",107.1
4983,Services Index Volume (Seasonally Adjusted),2017M02,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),103.7
4984,Services Index Volume (Seasonally Adjusted),2017M02,Transportation & Storage (H),97.4
4985,Services Index Volume (Seasonally Adjusted),2017M02,Accommodation & Food Service Activities (I),102.0
4986,Services Index Volume (Seasonally Adjusted),2017M02,Information & Communication (J),114.7
4987,Services Index Volume (Seasonally Adjusted),2017M02,"Professional, Scientific & Technical Activities (M)",115.2
4988,Services Index Volume (Seasonally Adjusted),2017M02,Administrative & Support Service Activities (N (excl. 7735)),107.8
4989,Services Index Volume (Seasonally Adjusted),2017M02,"Other Service Activities (L, 92, 93, 95, 96)",115.5
4990,Services Index Volume (Seasonally Adjusted),2017M02,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",110.4
4991,Services Index Volume (Seasonally Adjusted),2017M02,Wholesale Trade (46),97.2
4992,Services Index Volume (Seasonally Adjusted),2017M02,Accommodation (55),98.9
4993,Services Index Volume (Seasonally Adjusted),2017M02,"Food Service Activities (561, 562)",107.0
4994,Services Index Volume (Seasonally Adjusted),2017M03,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),106.3
4995,Services Index Volume (Seasonally Adjusted),2017M03,Transportation & Storage (H),99.6
4996,Services Index Volume (Seasonally Adjusted),2017M03,Accommodation & Food Service Activities (I),104.8
4997,Services Index Volume (Seasonally Adjusted),2017M03,Information & Communication (J),96.8
4998,Services Index Volume (Seasonally Adjusted),2017M03,"Professional, Scientific & Technical Activities (M)",114.6
4999,Services Index Volume (Seasonally Adjusted),2017M03,Administrative & Support Service Activities (N (excl. 7735)),109.3
5000,Services Index Volume (Seasonally Adjusted),2017M03,"Other Service Activities (L, 92, 93, 95, 96)",113.4
5001,Services Index Volume (Seasonally Adjusted),2017M03,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",105.6
5002,Services Index Volume (Seasonally Adjusted),2017M03,Wholesale Trade (46),107.2
5003,Services Index Volume (Seasonally Adjusted),2017M03,Accommodation (55),102.1
5004,Services Index Volume (Seasonally Adjusted),2017M03,"Food Service Activities (561, 562)",109.3
5005,Services Index Volume (Seasonally Adjusted),2017M04,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),105.1
5006,Services Index Volume (Seasonally Adjusted),2017M04,Transportation & Storage (H),100.9
