Statistic,Quarter,Sector,value
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2015Q3,Value of Physical Changes in Stocks,1753.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2015Q3,Modified Final Domestic Demand,45490.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2015Q3,Modified Total Domestic Demand,47671.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2015Q4,Personal Expenditure on Consumer Goods and Services,28445.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2015Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,8369.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2015Q4,Modified Gross Domestic Fixed Capital Formation,10401.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2015Q4,Gross domestic fixed capital formation - Dwellings,568.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2015Q4,Gross domestic fixed capital formation - Improvements,791.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2015Q4,Gross domestic fixed capital formation - Other Building and Construction,4997.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2015Q4,Gross domestic fixed capital formation - Transfer Costs,387.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2015Q4,Gross Domestic Fixed Capital Formation - Machinery and Equipment excluding Aircraft related to Leasing,1847.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2015Q4,Gross Domestic Fixed Capital Formation - Aircraft related to Leasing,2456.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2015Q4,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2015Q4,Gross Domestic Fixed Capital Formation - Intangible Assets excluding R&D service imports and trade in IP,2119.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2015Q4,Gross Domestic Fixed Capital Formation - R&D service imports and trade in IP,15434.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2015Q4,Value of Physical Changes in Stocks,662.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2015Q4,Modified Final Domestic Demand,47321.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2015Q4,Modified Total Domestic Demand,47898.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q1,Personal Expenditure on Consumer Goods and Services,27208.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,8406.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q1,Modified Gross Domestic Fixed Capital Formation,9965.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q1,Gross domestic fixed capital formation - Dwellings,678.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q1,Gross domestic fixed capital formation - Improvements,765.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q1,Gross domestic fixed capital formation - Other Building and Construction,2988.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q1,Gross domestic fixed capital formation - Transfer Costs,412.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q1,Gross Domestic Fixed Capital Formation - Machinery and Equipment excluding Aircraft related to Leasing,3312.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q1,Gross Domestic Fixed Capital Formation - Aircraft related to Leasing,1695.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q1,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q1,Gross Domestic Fixed Capital Formation - Intangible Assets excluding R&D service imports and trade in IP,1133.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q1,Gross Domestic Fixed Capital Formation - R&D service imports and trade in IP,11206.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q1,Value of Physical Changes in Stocks,195.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q1,Modified Final Domestic Demand,45673.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q1,Modified Total Domestic Demand,45632.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q2,Personal Expenditure on Consumer Goods and Services,26464.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,8486.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q2,Modified Gross Domestic Fixed Capital Formation,10800.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q2,Gross domestic fixed capital formation - Dwellings,757.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q2,Gross domestic fixed capital formation - Improvements,884.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q2,Gross domestic fixed capital formation - Other Building and Construction,3801.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q2,Gross domestic fixed capital formation - Transfer Costs,411.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q2,Gross Domestic Fixed Capital Formation - Machinery and Equipment excluding Aircraft related to Leasing,2986.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q2,Gross Domestic Fixed Capital Formation - Aircraft related to Leasing,2210.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q2,Gross Domestic Fixed Capital Formation - Intangible Assets excluding R&D service imports and trade in IP,1581.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q2,Gross Domestic Fixed Capital Formation - R&D service imports and trade in IP,12842.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q2,Value of Physical Changes in Stocks,216.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q2,Modified Final Domestic Demand,45709.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q2,Modified Total Domestic Demand,45698.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q3,Personal Expenditure on Consumer Goods and Services,27267.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,8671.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q3,Modified Gross Domestic Fixed Capital Formation,12058.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q3,Gross domestic fixed capital formation - Dwellings,818.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q3,Gross domestic fixed capital formation - Improvements,938.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q3,Gross domestic fixed capital formation - Other Building and Construction,4891.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q3,Gross domestic fixed capital formation - Transfer Costs,471.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q3,Gross Domestic Fixed Capital Formation - Machinery and Equipment excluding Aircraft related to Leasing,3059.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q3,Gross Domestic Fixed Capital Formation - Aircraft related to Leasing,1724.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q3,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q3,Gross Domestic Fixed Capital Formation - Intangible Assets excluding R&D service imports and trade in IP,1679.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q3,Gross Domestic Fixed Capital Formation - R&D service imports and trade in IP,13715.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q3,Value of Physical Changes in Stocks,312.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q3,Modified Final Domestic Demand,47837.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q3,Modified Total Domestic Demand,47945.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q4,Personal Expenditure on Consumer Goods and Services,29622.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,8862.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q4,Modified Gross Domestic Fixed Capital Formation,12273.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q4,Gross domestic fixed capital formation - Dwellings,758.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q4,Gross domestic fixed capital formation - Improvements,846.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q4,Gross domestic fixed capital formation - Other Building and Construction,5437.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q4,Gross domestic fixed capital formation - Transfer Costs,458.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q4,Gross Domestic Fixed Capital Formation - Machinery and Equipment excluding Aircraft related to Leasing,3010.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q4,Gross Domestic Fixed Capital Formation - Aircraft related to Leasing,2451.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q4,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q4,Gross Domestic Fixed Capital Formation - Intangible Assets excluding R&D service imports and trade in IP,1657.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q4,Gross Domestic Fixed Capital Formation - R&D service imports and trade in IP,20408.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q4,Value of Physical Changes in Stocks,2878.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q4,Modified Final Domestic Demand,50673.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2016Q4,Modified Total Domestic Demand,54352.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q1,Personal Expenditure on Consumer Goods and Services,27873.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,8680.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q1,Modified Gross Domestic Fixed Capital Formation,11275.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q1,Gross domestic fixed capital formation - Dwellings,932.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q1,Gross domestic fixed capital formation - Improvements,898.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q1,Gross domestic fixed capital formation - Other Building and Construction,3642.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q1,Gross domestic fixed capital formation - Transfer Costs,395.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q1,Gross Domestic Fixed Capital Formation - Machinery and Equipment excluding Aircraft related to Leasing,2578.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q1,Gross Domestic Fixed Capital Formation - Aircraft related to Leasing,3866.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q1,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q1,Gross Domestic Fixed Capital Formation - Intangible Assets excluding R&D service imports and trade in IP,2586.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q1,Gross Domestic Fixed Capital Formation - R&D service imports and trade in IP,3914.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q1,Value of Physical Changes in Stocks,322.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q1,Modified Final Domestic Demand,47791.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q1,Modified Total Domestic Demand,47925.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q2,Personal Expenditure on Consumer Goods and Services,27213.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,8774.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q2,Modified Gross Domestic Fixed Capital Formation,11755.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q2,Gross domestic fixed capital formation - Dwellings,1001.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q2,Gross domestic fixed capital formation - Improvements,900.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q2,Gross domestic fixed capital formation - Other Building and Construction,3944.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q2,Gross domestic fixed capital formation - Transfer Costs,347.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q2,Gross Domestic Fixed Capital Formation - Machinery and Equipment excluding Aircraft related to Leasing,2956.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q2,Gross Domestic Fixed Capital Formation - Aircraft related to Leasing,3688.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q2,Gross Domestic Fixed Capital Formation - Intangible Assets excluding R&D service imports and trade in IP,2269.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q2,Gross Domestic Fixed Capital Formation - R&D service imports and trade in IP,43971.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q2,Value of Physical Changes in Stocks,1280.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q2,Modified Final Domestic Demand,47626.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q2,Modified Total Domestic Demand,49083.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q3,Personal Expenditure on Consumer Goods and Services,28526.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,9081.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q3,Modified Gross Domestic Fixed Capital Formation,12052.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q3,Gross domestic fixed capital formation - Dwellings,1208.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q3,Gross domestic fixed capital formation - Improvements,924.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q3,Gross domestic fixed capital formation - Other Building and Construction,4982.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q3,Gross domestic fixed capital formation - Transfer Costs,341.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q3,Gross Domestic Fixed Capital Formation - Machinery and Equipment excluding Aircraft related to Leasing,2349.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q3,Gross Domestic Fixed Capital Formation - Aircraft related to Leasing,1769.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q3,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q3,Gross Domestic Fixed Capital Formation - Intangible Assets excluding R&D service imports and trade in IP,2298.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q3,Gross Domestic Fixed Capital Formation - R&D service imports and trade in IP,3956.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q3,Value of Physical Changes in Stocks,2229.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q3,Modified Final Domestic Demand,49567.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q3,Modified Total Domestic Demand,52320.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q4,Personal Expenditure on Consumer Goods and Services,30585.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,9189.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q4,Modified Gross Domestic Fixed Capital Formation,12934.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q4,Gross domestic fixed capital formation - Dwellings,1144.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q4,Gross domestic fixed capital formation - Improvements,1099.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q4,Gross domestic fixed capital formation - Other Building and Construction,5806.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q4,Gross domestic fixed capital formation - Transfer Costs,459.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q4,Gross Domestic Fixed Capital Formation - Machinery and Equipment excluding Aircraft related to Leasing,2475.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q4,Gross Domestic Fixed Capital Formation - Aircraft related to Leasing,3571.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q4,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q4,Gross Domestic Fixed Capital Formation - Intangible Assets excluding R&D service imports and trade in IP,2107.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q4,Gross Domestic Fixed Capital Formation - R&D service imports and trade in IP,3156.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q4,Value of Physical Changes in Stocks,381.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q4,Modified Final Domestic Demand,52597.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2017Q4,Modified Total Domestic Demand,52782.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2018Q1,Personal Expenditure on Consumer Goods and Services,29186.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2018Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,8998.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2018Q1,Modified Gross Domestic Fixed Capital Formation,12344.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2018Q1,Gross domestic fixed capital formation - Dwellings,1148.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2018Q1,Gross domestic fixed capital formation - Improvements,1242.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2018Q1,Gross domestic fixed capital formation - Other Building and Construction,3798.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2018Q1,Gross domestic fixed capital formation - Transfer Costs,392.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2018Q1,Gross Domestic Fixed Capital Formation - Machinery and Equipment excluding Aircraft related to Leasing,3297.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2018Q1,Gross Domestic Fixed Capital Formation - Aircraft related to Leasing,2513.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2018Q1,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2018Q1,Gross Domestic Fixed Capital Formation - Intangible Assets excluding R&D service imports and trade in IP,2081.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2018Q1,Gross Domestic Fixed Capital Formation - R&D service imports and trade in IP,3758.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2018Q1,Value of Physical Changes in Stocks,1625.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2018Q1,Modified Final Domestic Demand,50427.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2018Q1,Modified Total Domestic Demand,52314.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2018Q2,Personal Expenditure on Consumer Goods and Services,28992.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2018Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,9327.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2018Q2,Modified Gross Domestic Fixed Capital Formation,12714.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2018Q2,Gross domestic fixed capital formation - Dwellings,1360.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2018Q2,Gross domestic fixed capital formation - Improvements,1162.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2018Q2,Gross domestic fixed capital formation - Other Building and Construction,4279.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2018Q2,Gross domestic fixed capital formation - Transfer Costs,445.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2018Q2,Gross Domestic Fixed Capital Formation - Machinery and Equipment excluding Aircraft related to Leasing,
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2018Q2,Gross Domestic Fixed Capital Formation - Aircraft related to Leasing,
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2018Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2018Q2,Gross Domestic Fixed Capital Formation - Intangible Assets excluding R&D service imports and trade in IP,
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2018Q2,Gross Domestic Fixed Capital Formation - R&D service imports and trade in IP,
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2018Q2,Value of Physical Changes in Stocks,287.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2018Q2,Modified Final Domestic Demand,50897.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2018Q2,Modified Total Domestic Demand,51000.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2018Q3,Personal Expenditure on Consumer Goods and Services,29984.0
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices,2018Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,9643.0
