,Statistic,Quarter,Sex,NACE.Rev.2.Economic.Sector,value
4816,Persons aged 15-89 years in Employment,2020Q2,Both sexes,Education (P),177.4
4817,Persons aged 15-89 years in Employment,2020Q2,Both sexes,Human health and social work activities (Q),279.8
4818,Persons aged 15-89 years in Employment,2020Q2,Both sexes,Industry (B to E),287.4
4819,Persons aged 15-89 years in Employment,2020Q2,Both sexes,Industry and Construction (B to F),412.8
4820,Persons aged 15-89 years in Employment,2020Q2,Both sexes,Services (G to U),1623.2
4821,Persons aged 15-89 years in Employment,2020Q2,Both sexes,"Financial, insurance and real estate activities (K,L)",130.8
4822,Persons aged 15-89 years in Employment,2020Q2,Both sexes,Other NACE activities (R to U),84.9
4823,Persons aged 15-89 years in Employment,2020Q2,Both sexes,Not stated,
4824,Persons aged 15-89 years in Employment,2020Q2,Male,All NACE economic sectors,1175.2
4825,Persons aged 15-89 years in Employment,2020Q2,Male,"Agriculture, forestry and fishing (A)",83.3
4826,Persons aged 15-89 years in Employment,2020Q2,Male,Construction (F),115.5
4827,Persons aged 15-89 years in Employment,2020Q2,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",146.2
4828,Persons aged 15-89 years in Employment,2020Q2,Male,Transportation and storage (H),73.7
4829,Persons aged 15-89 years in Employment,2020Q2,Male,Accommodation and food service activities (I),51.3
4830,Persons aged 15-89 years in Employment,2020Q2,Male,Information and communication (J),94.1
4831,Persons aged 15-89 years in Employment,2020Q2,Male,"Professional, scientific and technical activities (M)",75.8
4832,Persons aged 15-89 years in Employment,2020Q2,Male,Administrative and support service activities (N),55.0
4833,Persons aged 15-89 years in Employment,2020Q2,Male,"Public administration and defence, compulsory social security (O)",57.5
4834,Persons aged 15-89 years in Employment,2020Q2,Male,Education (P),49.7
4835,Persons aged 15-89 years in Employment,2020Q2,Male,Human health and social work activities (Q),63.6
4836,Persons aged 15-89 years in Employment,2020Q2,Male,Industry (B to E),202.8
4837,Persons aged 15-89 years in Employment,2020Q2,Male,Industry and Construction (B to F),318.3
4838,Persons aged 15-89 years in Employment,2020Q2,Male,Services (G to U),770.9
4839,Persons aged 15-89 years in Employment,2020Q2,Male,"Financial, insurance and real estate activities (K,L)",66.7
4840,Persons aged 15-89 years in Employment,2020Q2,Male,Other NACE activities (R to U),37.1
4841,Persons aged 15-89 years in Employment,2020Q2,Male,Not stated,
4842,Persons aged 15-89 years in Employment,2020Q2,Female,All NACE economic sectors,962.9
4843,Persons aged 15-89 years in Employment,2020Q2,Female,"Agriculture, forestry and fishing (A)",14.3
4844,Persons aged 15-89 years in Employment,2020Q2,Female,Construction (F),10.0
4845,Persons aged 15-89 years in Employment,2020Q2,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",126.1
4846,Persons aged 15-89 years in Employment,2020Q2,Female,Transportation and storage (H),16.6
4847,Persons aged 15-89 years in Employment,2020Q2,Female,Accommodation and food service activities (I),58.8
4848,Persons aged 15-89 years in Employment,2020Q2,Female,Information and communication (J),39.7
4849,Persons aged 15-89 years in Employment,2020Q2,Female,"Professional, scientific and technical activities (M)",63.6
4850,Persons aged 15-89 years in Employment,2020Q2,Female,Administrative and support service activities (N),31.8
4851,Persons aged 15-89 years in Employment,2020Q2,Female,"Public administration and defence, compulsory social security (O)",60.1
4852,Persons aged 15-89 years in Employment,2020Q2,Female,Education (P),127.6
4853,Persons aged 15-89 years in Employment,2020Q2,Female,Human health and social work activities (Q),216.2
4854,Persons aged 15-89 years in Employment,2020Q2,Female,Industry (B to E),84.5
4855,Persons aged 15-89 years in Employment,2020Q2,Female,Industry and Construction (B to F),94.5
4856,Persons aged 15-89 years in Employment,2020Q2,Female,Services (G to U),852.3
4857,Persons aged 15-89 years in Employment,2020Q2,Female,"Financial, insurance and real estate activities (K,L)",64.1
4858,Persons aged 15-89 years in Employment,2020Q2,Female,Other NACE activities (R to U),47.7
4859,Persons aged 15-89 years in Employment,2020Q2,Female,Not stated,
4860,Persons aged 15-89 years in Employment,2020Q3,Both sexes,All NACE economic sectors,2250.0
4861,Persons aged 15-89 years in Employment,2020Q3,Both sexes,"Agriculture, forestry and fishing (A)",98.3
4862,Persons aged 15-89 years in Employment,2020Q3,Both sexes,Construction (F),133.7
4863,Persons aged 15-89 years in Employment,2020Q3,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",302.3
4864,Persons aged 15-89 years in Employment,2020Q3,Both sexes,Transportation and storage (H),100.1
4865,Persons aged 15-89 years in Employment,2020Q3,Both sexes,Accommodation and food service activities (I),137.2
4866,Persons aged 15-89 years in Employment,2020Q3,Both sexes,Information and communication (J),128.3
4867,Persons aged 15-89 years in Employment,2020Q3,Both sexes,"Professional, scientific and technical activities (M)",140.6
4868,Persons aged 15-89 years in Employment,2020Q3,Both sexes,Administrative and support service activities (N),92.1
4869,Persons aged 15-89 years in Employment,2020Q3,Both sexes,"Public administration and defence, compulsory social security (O)",117.7
4870,Persons aged 15-89 years in Employment,2020Q3,Both sexes,Education (P),182.6
4871,Persons aged 15-89 years in Employment,2020Q3,Both sexes,Human health and social work activities (Q),288.0
4872,Persons aged 15-89 years in Employment,2020Q3,Both sexes,Industry (B to E),298.9
4873,Persons aged 15-89 years in Employment,2020Q3,Both sexes,Industry and Construction (B to F),432.7
4874,Persons aged 15-89 years in Employment,2020Q3,Both sexes,Services (G to U),1715.4
4875,Persons aged 15-89 years in Employment,2020Q3,Both sexes,"Financial, insurance and real estate activities (K,L)",123.4
4876,Persons aged 15-89 years in Employment,2020Q3,Both sexes,Other NACE activities (R to U),103.0
4877,Persons aged 15-89 years in Employment,2020Q3,Both sexes,Not stated,
4878,Persons aged 15-89 years in Employment,2020Q3,Male,All NACE economic sectors,1226.7
4879,Persons aged 15-89 years in Employment,2020Q3,Male,"Agriculture, forestry and fishing (A)",83.8
4880,Persons aged 15-89 years in Employment,2020Q3,Male,Construction (F),124.2
4881,Persons aged 15-89 years in Employment,2020Q3,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",157.7
4882,Persons aged 15-89 years in Employment,2020Q3,Male,Transportation and storage (H),81.0
4883,Persons aged 15-89 years in Employment,2020Q3,Male,Accommodation and food service activities (I),65.6
4884,Persons aged 15-89 years in Employment,2020Q3,Male,Information and communication (J),90.3
4885,Persons aged 15-89 years in Employment,2020Q3,Male,"Professional, scientific and technical activities (M)",76.7
4886,Persons aged 15-89 years in Employment,2020Q3,Male,Administrative and support service activities (N),56.8
4887,Persons aged 15-89 years in Employment,2020Q3,Male,"Public administration and defence, compulsory social security (O)",55.3
4888,Persons aged 15-89 years in Employment,2020Q3,Male,Education (P),51.5
4889,Persons aged 15-89 years in Employment,2020Q3,Male,Human health and social work activities (Q),64.6
4890,Persons aged 15-89 years in Employment,2020Q3,Male,Industry (B to E),205.6
4891,Persons aged 15-89 years in Employment,2020Q3,Male,Industry and Construction (B to F),329.8
4892,Persons aged 15-89 years in Employment,2020Q3,Male,Services (G to U),811.3
4893,Persons aged 15-89 years in Employment,2020Q3,Male,"Financial, insurance and real estate activities (K,L)",67.2
4894,Persons aged 15-89 years in Employment,2020Q3,Male,Other NACE activities (R to U),44.7
4895,Persons aged 15-89 years in Employment,2020Q3,Male,Not stated,
4896,Persons aged 15-89 years in Employment,2020Q3,Female,All NACE economic sectors,1023.3
4897,Persons aged 15-89 years in Employment,2020Q3,Female,"Agriculture, forestry and fishing (A)",14.5
4898,Persons aged 15-89 years in Employment,2020Q3,Female,Construction (F),9.5
4899,Persons aged 15-89 years in Employment,2020Q3,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",144.6
4900,Persons aged 15-89 years in Employment,2020Q3,Female,Transportation and storage (H),19.1
4901,Persons aged 15-89 years in Employment,2020Q3,Female,Accommodation and food service activities (I),71.6
4902,Persons aged 15-89 years in Employment,2020Q3,Female,Information and communication (J),38.0
4903,Persons aged 15-89 years in Employment,2020Q3,Female,"Professional, scientific and technical activities (M)",64.0
4904,Persons aged 15-89 years in Employment,2020Q3,Female,Administrative and support service activities (N),35.3
4905,Persons aged 15-89 years in Employment,2020Q3,Female,"Public administration and defence, compulsory social security (O)",62.4
4906,Persons aged 15-89 years in Employment,2020Q3,Female,Education (P),131.0
4907,Persons aged 15-89 years in Employment,2020Q3,Female,Human health and social work activities (Q),223.5
4908,Persons aged 15-89 years in Employment,2020Q3,Female,Industry (B to E),93.3
4909,Persons aged 15-89 years in Employment,2020Q3,Female,Industry and Construction (B to F),102.9
4910,Persons aged 15-89 years in Employment,2020Q3,Female,Services (G to U),904.2
4911,Persons aged 15-89 years in Employment,2020Q3,Female,"Financial, insurance and real estate activities (K,L)",56.3
4912,Persons aged 15-89 years in Employment,2020Q3,Female,Other NACE activities (R to U),58.3
4913,Persons aged 15-89 years in Employment,2020Q3,Female,Not stated,
4914,Persons aged 15-89 years in Employment,2020Q4,Both sexes,All NACE economic sectors,2276.8
4915,Persons aged 15-89 years in Employment,2020Q4,Both sexes,"Agriculture, forestry and fishing (A)",106.1
4916,Persons aged 15-89 years in Employment,2020Q4,Both sexes,Construction (F),135.0
4917,Persons aged 15-89 years in Employment,2020Q4,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",312.9
4918,Persons aged 15-89 years in Employment,2020Q4,Both sexes,Transportation and storage (H),106.6
4919,Persons aged 15-89 years in Employment,2020Q4,Both sexes,Accommodation and food service activities (I),124.6
4920,Persons aged 15-89 years in Employment,2020Q4,Both sexes,Information and communication (J),138.7
4921,Persons aged 15-89 years in Employment,2020Q4,Both sexes,"Professional, scientific and technical activities (M)",144.6
4922,Persons aged 15-89 years in Employment,2020Q4,Both sexes,Administrative and support service activities (N),80.8
4923,Persons aged 15-89 years in Employment,2020Q4,Both sexes,"Public administration and defence, compulsory social security (O)",121.3
4924,Persons aged 15-89 years in Employment,2020Q4,Both sexes,Education (P),193.6
4925,Persons aged 15-89 years in Employment,2020Q4,Both sexes,Human health and social work activities (Q),290.6
4926,Persons aged 15-89 years in Employment,2020Q4,Both sexes,Industry (B to E),296.8
4927,Persons aged 15-89 years in Employment,2020Q4,Both sexes,Industry and Construction (B to F),431.8
4928,Persons aged 15-89 years in Employment,2020Q4,Both sexes,Services (G to U),1734.9
4929,Persons aged 15-89 years in Employment,2020Q4,Both sexes,"Financial, insurance and real estate activities (K,L)",124.3
4930,Persons aged 15-89 years in Employment,2020Q4,Both sexes,Other NACE activities (R to U),97.0
4931,Persons aged 15-89 years in Employment,2020Q4,Both sexes,Not stated,
4932,Persons aged 15-89 years in Employment,2020Q4,Male,All NACE economic sectors,1232.3
4933,Persons aged 15-89 years in Employment,2020Q4,Male,"Agriculture, forestry and fishing (A)",89.4
4934,Persons aged 15-89 years in Employment,2020Q4,Male,Construction (F),126.5
4935,Persons aged 15-89 years in Employment,2020Q4,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",161.5
4936,Persons aged 15-89 years in Employment,2020Q4,Male,Transportation and storage (H),84.8
4937,Persons aged 15-89 years in Employment,2020Q4,Male,Accommodation and food service activities (I),60.5
4938,Persons aged 15-89 years in Employment,2020Q4,Male,Information and communication (J),98.7
4939,Persons aged 15-89 years in Employment,2020Q4,Male,"Professional, scientific and technical activities (M)",79.9
4940,Persons aged 15-89 years in Employment,2020Q4,Male,Administrative and support service activities (N),48.8
4941,Persons aged 15-89 years in Employment,2020Q4,Male,"Public administration and defence, compulsory social security (O)",57.9
4942,Persons aged 15-89 years in Employment,2020Q4,Male,Education (P),52.2
4943,Persons aged 15-89 years in Employment,2020Q4,Male,Human health and social work activities (Q),63.0
4944,Persons aged 15-89 years in Employment,2020Q4,Male,Industry (B to E),207.6
4945,Persons aged 15-89 years in Employment,2020Q4,Male,Industry and Construction (B to F),334.1
4946,Persons aged 15-89 years in Employment,2020Q4,Male,Services (G to U),807.1
4947,Persons aged 15-89 years in Employment,2020Q4,Male,"Financial, insurance and real estate activities (K,L)",61.8
4948,Persons aged 15-89 years in Employment,2020Q4,Male,Other NACE activities (R to U),37.9
4949,Persons aged 15-89 years in Employment,2020Q4,Male,Not stated,
4950,Persons aged 15-89 years in Employment,2020Q4,Female,All NACE economic sectors,1044.5
4951,Persons aged 15-89 years in Employment,2020Q4,Female,"Agriculture, forestry and fishing (A)",16.7
4952,Persons aged 15-89 years in Employment,2020Q4,Female,Construction (F),8.5
4953,Persons aged 15-89 years in Employment,2020Q4,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",151.4
4954,Persons aged 15-89 years in Employment,2020Q4,Female,Transportation and storage (H),21.8
4955,Persons aged 15-89 years in Employment,2020Q4,Female,Accommodation and food service activities (I),64.1
4956,Persons aged 15-89 years in Employment,2020Q4,Female,Information and communication (J),40.0
4957,Persons aged 15-89 years in Employment,2020Q4,Female,"Professional, scientific and technical activities (M)",64.6
4958,Persons aged 15-89 years in Employment,2020Q4,Female,Administrative and support service activities (N),32.0
4959,Persons aged 15-89 years in Employment,2020Q4,Female,"Public administration and defence, compulsory social security (O)",63.3
4960,Persons aged 15-89 years in Employment,2020Q4,Female,Education (P),141.4
4961,Persons aged 15-89 years in Employment,2020Q4,Female,Human health and social work activities (Q),227.6
4962,Persons aged 15-89 years in Employment,2020Q4,Female,Industry (B to E),89.2
4963,Persons aged 15-89 years in Employment,2020Q4,Female,Industry and Construction (B to F),97.7
4964,Persons aged 15-89 years in Employment,2020Q4,Female,Services (G to U),927.7
4965,Persons aged 15-89 years in Employment,2020Q4,Female,"Financial, insurance and real estate activities (K,L)",62.5
4966,Persons aged 15-89 years in Employment,2020Q4,Female,Other NACE activities (R to U),59.1
4967,Persons aged 15-89 years in Employment,2020Q4,Female,Not stated,
4968,Persons aged 15-89 years in Employment,2021Q1,Both sexes,All NACE economic sectors,2230.6
4969,Persons aged 15-89 years in Employment,2021Q1,Both sexes,"Agriculture, forestry and fishing (A)",106.4
4970,Persons aged 15-89 years in Employment,2021Q1,Both sexes,Construction (F),122.5
4971,Persons aged 15-89 years in Employment,2021Q1,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",303.7
4972,Persons aged 15-89 years in Employment,2021Q1,Both sexes,Transportation and storage (H),91.3
4973,Persons aged 15-89 years in Employment,2021Q1,Both sexes,Accommodation and food service activities (I),100.2
4974,Persons aged 15-89 years in Employment,2021Q1,Both sexes,Information and communication (J),141.1
4975,Persons aged 15-89 years in Employment,2021Q1,Both sexes,"Professional, scientific and technical activities (M)",146.6
4976,Persons aged 15-89 years in Employment,2021Q1,Both sexes,Administrative and support service activities (N),81.7
4977,Persons aged 15-89 years in Employment,2021Q1,Both sexes,"Public administration and defence, compulsory social security (O)",124.3
4978,Persons aged 15-89 years in Employment,2021Q1,Both sexes,Education (P),206.6
4979,Persons aged 15-89 years in Employment,2021Q1,Both sexes,Human health and social work activities (Q),293.9
4980,Persons aged 15-89 years in Employment,2021Q1,Both sexes,Industry (B to E),304.5
4981,Persons aged 15-89 years in Employment,2021Q1,Both sexes,Industry and Construction (B to F),427.0
4982,Persons aged 15-89 years in Employment,2021Q1,Both sexes,Services (G to U),1694.3
4983,Persons aged 15-89 years in Employment,2021Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",122.5
4984,Persons aged 15-89 years in Employment,2021Q1,Both sexes,Other NACE activities (R to U),82.4
4985,Persons aged 15-89 years in Employment,2021Q1,Both sexes,Not stated,
4986,Persons aged 15-89 years in Employment,2021Q1,Male,All NACE economic sectors,1200.6
4987,Persons aged 15-89 years in Employment,2021Q1,Male,"Agriculture, forestry and fishing (A)",90.7
4988,Persons aged 15-89 years in Employment,2021Q1,Male,Construction (F),113.0
4989,Persons aged 15-89 years in Employment,2021Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",163.2
4990,Persons aged 15-89 years in Employment,2021Q1,Male,Transportation and storage (H),69.9
4991,Persons aged 15-89 years in Employment,2021Q1,Male,Accommodation and food service activities (I),48.1
4992,Persons aged 15-89 years in Employment,2021Q1,Male,Information and communication (J),101.8
4993,Persons aged 15-89 years in Employment,2021Q1,Male,"Professional, scientific and technical activities (M)",78.2
4994,Persons aged 15-89 years in Employment,2021Q1,Male,Administrative and support service activities (N),48.7
4995,Persons aged 15-89 years in Employment,2021Q1,Male,"Public administration and defence, compulsory social security (O)",57.2
4996,Persons aged 15-89 years in Employment,2021Q1,Male,Education (P),53.0
4997,Persons aged 15-89 years in Employment,2021Q1,Male,Human health and social work activities (Q),61.5
4998,Persons aged 15-89 years in Employment,2021Q1,Male,Industry (B to E),218.7
4999,Persons aged 15-89 years in Employment,2021Q1,Male,Industry and Construction (B to F),331.7
5000,Persons aged 15-89 years in Employment,2021Q1,Male,Services (G to U),776.4
5001,Persons aged 15-89 years in Employment,2021Q1,Male,"Financial, insurance and real estate activities (K,L)",61.0
5002,Persons aged 15-89 years in Employment,2021Q1,Male,Other NACE activities (R to U),33.8
5003,Persons aged 15-89 years in Employment,2021Q1,Male,Not stated,
5004,Persons aged 15-89 years in Employment,2021Q1,Female,All NACE economic sectors,1030.0
5005,Persons aged 15-89 years in Employment,2021Q1,Female,"Agriculture, forestry and fishing (A)",15.7
5006,Persons aged 15-89 years in Employment,2021Q1,Female,Construction (F),9.5
5007,Persons aged 15-89 years in Employment,2021Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",140.6
5008,Persons aged 15-89 years in Employment,2021Q1,Female,Transportation and storage (H),21.4
5009,Persons aged 15-89 years in Employment,2021Q1,Female,Accommodation and food service activities (I),52.1
5010,Persons aged 15-89 years in Employment,2021Q1,Female,Information and communication (J),39.3
5011,Persons aged 15-89 years in Employment,2021Q1,Female,"Professional, scientific and technical activities (M)",68.4
5012,Persons aged 15-89 years in Employment,2021Q1,Female,Administrative and support service activities (N),33.1
5013,Persons aged 15-89 years in Employment,2021Q1,Female,"Public administration and defence, compulsory social security (O)",67.1
5014,Persons aged 15-89 years in Employment,2021Q1,Female,Education (P),153.6
5015,Persons aged 15-89 years in Employment,2021Q1,Female,Human health and social work activities (Q),232.5
5016,Persons aged 15-89 years in Employment,2021Q1,Female,Industry (B to E),85.7
5017,Persons aged 15-89 years in Employment,2021Q1,Female,Industry and Construction (B to F),95.3
5018,Persons aged 15-89 years in Employment,2021Q1,Female,Services (G to U),917.9
5019,Persons aged 15-89 years in Employment,2021Q1,Female,"Financial, insurance and real estate activities (K,L)",61.4
5020,Persons aged 15-89 years in Employment,2021Q1,Female,Other NACE activities (R to U),48.6
5021,Persons aged 15-89 years in Employment,2021Q1,Female,Not stated,
5022,Persons aged 15-89 years in Employment,2021Q2,Both sexes,All NACE economic sectors,2349.1
5023,Persons aged 15-89 years in Employment,2021Q2,Both sexes,"Agriculture, forestry and fishing (A)",107.9
5024,Persons aged 15-89 years in Employment,2021Q2,Both sexes,Construction (F),127.3
5025,Persons aged 15-89 years in Employment,2021Q2,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",302.7
5026,Persons aged 15-89 years in Employment,2021Q2,Both sexes,Transportation and storage (H),100.4
5027,Persons aged 15-89 years in Employment,2021Q2,Both sexes,Accommodation and food service activities (I),120.9
5028,Persons aged 15-89 years in Employment,2021Q2,Both sexes,Information and communication (J),141.0
5029,Persons aged 15-89 years in Employment,2021Q2,Both sexes,"Professional, scientific and technical activities (M)",158.3
5030,Persons aged 15-89 years in Employment,2021Q2,Both sexes,Administrative and support service activities (N),97.4
5031,Persons aged 15-89 years in Employment,2021Q2,Both sexes,"Public administration and defence, compulsory social security (O)",128.8
5032,Persons aged 15-89 years in Employment,2021Q2,Both sexes,Education (P),212.6
5033,Persons aged 15-89 years in Employment,2021Q2,Both sexes,Human health and social work activities (Q),305.8
5034,Persons aged 15-89 years in Employment,2021Q2,Both sexes,Industry (B to E),311.5
5035,Persons aged 15-89 years in Employment,2021Q2,Both sexes,Industry and Construction (B to F),438.8
5036,Persons aged 15-89 years in Employment,2021Q2,Both sexes,Services (G to U),1797.2
5037,Persons aged 15-89 years in Employment,2021Q2,Both sexes,"Financial, insurance and real estate activities (K,L)",131.6
5038,Persons aged 15-89 years in Employment,2021Q2,Both sexes,Other NACE activities (R to U),97.8
5039,Persons aged 15-89 years in Employment,2021Q2,Both sexes,Not stated,
5040,Persons aged 15-89 years in Employment,2021Q2,Male,All NACE economic sectors,1263.2
5041,Persons aged 15-89 years in Employment,2021Q2,Male,"Agriculture, forestry and fishing (A)",94.8
5042,Persons aged 15-89 years in Employment,2021Q2,Male,Construction (F),117.1
5043,Persons aged 15-89 years in Employment,2021Q2,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",155.1
5044,Persons aged 15-89 years in Employment,2021Q2,Male,Transportation and storage (H),81.3
5045,Persons aged 15-89 years in Employment,2021Q2,Male,Accommodation and food service activities (I),57.9
5046,Persons aged 15-89 years in Employment,2021Q2,Male,Information and communication (J),99.9
5047,Persons aged 15-89 years in Employment,2021Q2,Male,"Professional, scientific and technical activities (M)",85.5
5048,Persons aged 15-89 years in Employment,2021Q2,Male,Administrative and support service activities (N),62.9
5049,Persons aged 15-89 years in Employment,2021Q2,Male,"Public administration and defence, compulsory social security (O)",59.4
5050,Persons aged 15-89 years in Employment,2021Q2,Male,Education (P),52.1
5051,Persons aged 15-89 years in Employment,2021Q2,Male,Human health and social work activities (Q),61.2
5052,Persons aged 15-89 years in Employment,2021Q2,Male,Industry (B to E),221.3
5053,Persons aged 15-89 years in Employment,2021Q2,Male,Industry and Construction (B to F),338.3
5054,Persons aged 15-89 years in Employment,2021Q2,Male,Services (G to U),828.1
5055,Persons aged 15-89 years in Employment,2021Q2,Male,"Financial, insurance and real estate activities (K,L)",67.5
5056,Persons aged 15-89 years in Employment,2021Q2,Male,Other NACE activities (R to U),45.4
5057,Persons aged 15-89 years in Employment,2021Q2,Male,Not stated,
5058,Persons aged 15-89 years in Employment,2021Q2,Female,All NACE economic sectors,1085.9
5059,Persons aged 15-89 years in Employment,2021Q2,Female,"Agriculture, forestry and fishing (A)",13.1
5060,Persons aged 15-89 years in Employment,2021Q2,Female,Construction (F),10.2
5061,Persons aged 15-89 years in Employment,2021Q2,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",147.6
5062,Persons aged 15-89 years in Employment,2021Q2,Female,Transportation and storage (H),19.1
5063,Persons aged 15-89 years in Employment,2021Q2,Female,Accommodation and food service activities (I),63.0
5064,Persons aged 15-89 years in Employment,2021Q2,Female,Information and communication (J),41.1
5065,Persons aged 15-89 years in Employment,2021Q2,Female,"Professional, scientific and technical activities (M)",72.8
5066,Persons aged 15-89 years in Employment,2021Q2,Female,Administrative and support service activities (N),34.6
5067,Persons aged 15-89 years in Employment,2021Q2,Female,"Public administration and defence, compulsory social security (O)",69.5
5068,Persons aged 15-89 years in Employment,2021Q2,Female,Education (P),160.5
5069,Persons aged 15-89 years in Employment,2021Q2,Female,Human health and social work activities (Q),244.6
5070,Persons aged 15-89 years in Employment,2021Q2,Female,Industry (B to E),90.2
5071,Persons aged 15-89 years in Employment,2021Q2,Female,Industry and Construction (B to F),100.5
5072,Persons aged 15-89 years in Employment,2021Q2,Female,Services (G to U),969.1
5073,Persons aged 15-89 years in Employment,2021Q2,Female,"Financial, insurance and real estate activities (K,L)",64.1
5074,Persons aged 15-89 years in Employment,2021Q2,Female,Other NACE activities (R to U),52.4
5075,Persons aged 15-89 years in Employment,2021Q2,Female,Not stated,
5076,Persons aged 15-89 years in Employment,2021Q3,Both sexes,All NACE economic sectors,2471.2
5077,Persons aged 15-89 years in Employment,2021Q3,Both sexes,"Agriculture, forestry and fishing (A)",107.0
5078,Persons aged 15-89 years in Employment,2021Q3,Both sexes,Construction (F),146.3
5079,Persons aged 15-89 years in Employment,2021Q3,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",310.8
5080,Persons aged 15-89 years in Employment,2021Q3,Both sexes,Transportation and storage (H),108.7
5081,Persons aged 15-89 years in Employment,2021Q3,Both sexes,Accommodation and food service activities (I),176.7
5082,Persons aged 15-89 years in Employment,2021Q3,Both sexes,Information and communication (J),147.3
5083,Persons aged 15-89 years in Employment,2021Q3,Both sexes,"Professional, scientific and technical activities (M)",164.9
5084,Persons aged 15-89 years in Employment,2021Q3,Both sexes,Administrative and support service activities (N),103.1
5085,Persons aged 15-89 years in Employment,2021Q3,Both sexes,"Public administration and defence, compulsory social security (O)",124.2
5086,Persons aged 15-89 years in Employment,2021Q3,Both sexes,Education (P),208.3
5087,Persons aged 15-89 years in Employment,2021Q3,Both sexes,Human health and social work activities (Q),306.4
5088,Persons aged 15-89 years in Employment,2021Q3,Both sexes,Industry (B to E),307.1
5089,Persons aged 15-89 years in Employment,2021Q3,Both sexes,Industry and Construction (B to F),453.4
5090,Persons aged 15-89 years in Employment,2021Q3,Both sexes,Services (G to U),1905.9
5091,Persons aged 15-89 years in Employment,2021Q3,Both sexes,"Financial, insurance and real estate activities (K,L)",137.9
5092,Persons aged 15-89 years in Employment,2021Q3,Both sexes,Other NACE activities (R to U),117.6
5093,Persons aged 15-89 years in Employment,2021Q3,Both sexes,Not stated,
5094,Persons aged 15-89 years in Employment,2021Q3,Male,All NACE economic sectors,1316.7
5095,Persons aged 15-89 years in Employment,2021Q3,Male,"Agriculture, forestry and fishing (A)",92.0
5096,Persons aged 15-89 years in Employment,2021Q3,Male,Construction (F),134.3
5097,Persons aged 15-89 years in Employment,2021Q3,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",153.7
5098,Persons aged 15-89 years in Employment,2021Q3,Male,Transportation and storage (H),86.0
5099,Persons aged 15-89 years in Employment,2021Q3,Male,Accommodation and food service activities (I),81.4
5100,Persons aged 15-89 years in Employment,2021Q3,Male,Information and communication (J),101.7
5101,Persons aged 15-89 years in Employment,2021Q3,Male,"Professional, scientific and technical activities (M)",89.3
5102,Persons aged 15-89 years in Employment,2021Q3,Male,Administrative and support service activities (N),62.9
5103,Persons aged 15-89 years in Employment,2021Q3,Male,"Public administration and defence, compulsory social security (O)",57.8
5104,Persons aged 15-89 years in Employment,2021Q3,Male,Education (P),57.2
5105,Persons aged 15-89 years in Employment,2021Q3,Male,Human health and social work activities (Q),66.5
5106,Persons aged 15-89 years in Employment,2021Q3,Male,Industry (B to E),213.0
5107,Persons aged 15-89 years in Employment,2021Q3,Male,Industry and Construction (B to F),347.2
5108,Persons aged 15-89 years in Employment,2021Q3,Male,Services (G to U),874.4
5109,Persons aged 15-89 years in Employment,2021Q3,Male,"Financial, insurance and real estate activities (K,L)",70.4
5110,Persons aged 15-89 years in Employment,2021Q3,Male,Other NACE activities (R to U),47.5
5111,Persons aged 15-89 years in Employment,2021Q3,Male,Not stated,
5112,Persons aged 15-89 years in Employment,2021Q3,Female,All NACE economic sectors,1154.5
5113,Persons aged 15-89 years in Employment,2021Q3,Female,"Agriculture, forestry and fishing (A)",15.0
5114,Persons aged 15-89 years in Employment,2021Q3,Female,Construction (F),12.1
5115,Persons aged 15-89 years in Employment,2021Q3,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",157.0
5116,Persons aged 15-89 years in Employment,2021Q3,Female,Transportation and storage (H),22.7
5117,Persons aged 15-89 years in Employment,2021Q3,Female,Accommodation and food service activities (I),95.3
5118,Persons aged 15-89 years in Employment,2021Q3,Female,Information and communication (J),45.7
5119,Persons aged 15-89 years in Employment,2021Q3,Female,"Professional, scientific and technical activities (M)",75.6
5120,Persons aged 15-89 years in Employment,2021Q3,Female,Administrative and support service activities (N),40.2
5121,Persons aged 15-89 years in Employment,2021Q3,Female,"Public administration and defence, compulsory social security (O)",66.4
5122,Persons aged 15-89 years in Employment,2021Q3,Female,Education (P),151.1
5123,Persons aged 15-89 years in Employment,2021Q3,Female,Human health and social work activities (Q),239.9
