,Statistic,Quarter,Sector,value
5182,Expenditure on GNP at Constant Market Prices,2012Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,7566.0
5183,Expenditure on GNP at Constant Market Prices,2012Q3,General Government Expenditure on Goods & Services provided to Households,5905.0
5184,Expenditure on GNP at Constant Market Prices,2012Q3,General Government Collective Consumption Expenditure,3015.0
5185,Expenditure on GNP at Constant Market Prices,2012Q3,General Government Final Consumption Expenditure,8920.0
5186,Expenditure on GNP at Constant Market Prices,2012Q3,Gross Domestic Fixed Capital Formation,8963.0
5187,Expenditure on GNP at Constant Market Prices,2012Q3,Gross domestic fixed capital formation - Dwellings,314.0
5188,Expenditure on GNP at Constant Market Prices,2012Q3,Gross domestic fixed capital formation - Improvements,611.0
5189,Expenditure on GNP at Constant Market Prices,2012Q3,Gross domestic fixed capital formation - Other Building and Construction,2963.0
5190,Expenditure on GNP at Constant Market Prices,2012Q3,Gross domestic fixed capital formation - Transfer Costs,145.0
5191,Expenditure on GNP at Constant Market Prices,2012Q3,Gross domestic fixed capital formation - Machinery and Equipment,2886.0
5192,Expenditure on GNP at Constant Market Prices,2012Q3,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,1793.0
5193,Expenditure on GNP at Constant Market Prices,2012Q3,Gross domestic fixed capital formation - Intangible Assets,2499.0
5194,Expenditure on GNP at Constant Market Prices,2012Q3,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
5195,Expenditure on GNP at Constant Market Prices,2012Q3,Value of Physical Changes in Stocks,189.0
5196,Expenditure on GNP at Constant Market Prices,2012Q3,Exports of Goods and Services (excluding Factor Income Flows),48562.0
5197,Expenditure on GNP at Constant Market Prices,2012Q3,Imports of Goods and Services (excluding Factor Income Flows),-39689.0
5198,Expenditure on GNP at Constant Market Prices,2012Q3,Gross Domestic Product at Market Prices,51035.0
5199,Expenditure on GNP at Constant Market Prices,2012Q3,Net Factor Income from the Rest of the World,-9209.0
5200,Expenditure on GNP at Constant Market Prices,2012Q3,Gross National Product at Market Prices,41892.0
5201,Expenditure on GNP at Constant Market Prices,2012Q3,Statistical Discrepancy,
5202,Expenditure on GNP at Constant Market Prices,2012Q3,Export of Goods (excluding Factor Income Flows),22100.0
5203,Expenditure on GNP at Constant Market Prices,2012Q3,Import of Goods (excluding Factor Income Flows),-15706.0
5204,Expenditure on GNP at Constant Market Prices,2012Q3,Export of Services (excluding Factor Income Flows),26672.0
5205,Expenditure on GNP at Constant Market Prices,2012Q3,Import of Services (excluding Factor Income Flows),-23585.0
5206,Expenditure on GNP at Constant Market Prices,2012Q3,Final Domestic Demand,40476.0
5207,Expenditure on GNP at Constant Market Prices,2012Q3,Total Domestic Demand,40527.0
5208,Expenditure on GNP at Constant Market Prices,2012Q4,Personal Expenditure on Consumer Goods and Services,25513.0
5209,Expenditure on GNP at Constant Market Prices,2012Q4,Household & NPISH Final Consumption Expenditure,24050.0
5210,Expenditure on GNP at Constant Market Prices,2012Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,7398.0
5211,Expenditure on GNP at Constant Market Prices,2012Q4,General Government Expenditure on Goods & Services provided to Households,5860.0
5212,Expenditure on GNP at Constant Market Prices,2012Q4,General Government Collective Consumption Expenditure,2992.0
5213,Expenditure on GNP at Constant Market Prices,2012Q4,General Government Final Consumption Expenditure,8853.0
5214,Expenditure on GNP at Constant Market Prices,2012Q4,Gross Domestic Fixed Capital Formation,9434.0
5215,Expenditure on GNP at Constant Market Prices,2012Q4,Gross domestic fixed capital formation - Dwellings,290.0
5216,Expenditure on GNP at Constant Market Prices,2012Q4,Gross domestic fixed capital formation - Improvements,610.0
5217,Expenditure on GNP at Constant Market Prices,2012Q4,Gross domestic fixed capital formation - Other Building and Construction,3540.0
5218,Expenditure on GNP at Constant Market Prices,2012Q4,Gross domestic fixed capital formation - Transfer Costs,202.0
5219,Expenditure on GNP at Constant Market Prices,2012Q4,Gross domestic fixed capital formation - Machinery and Equipment,2625.0
5220,Expenditure on GNP at Constant Market Prices,2012Q4,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,1614.0
5221,Expenditure on GNP at Constant Market Prices,2012Q4,Gross domestic fixed capital formation - Intangible Assets,2817.0
5222,Expenditure on GNP at Constant Market Prices,2012Q4,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
5223,Expenditure on GNP at Constant Market Prices,2012Q4,Value of Physical Changes in Stocks,-217.0
5224,Expenditure on GNP at Constant Market Prices,2012Q4,Exports of Goods and Services (excluding Factor Income Flows),50752.0
5225,Expenditure on GNP at Constant Market Prices,2012Q4,Imports of Goods and Services (excluding Factor Income Flows),-43382.0
5226,Expenditure on GNP at Constant Market Prices,2012Q4,Gross Domestic Product at Market Prices,50643.0
5227,Expenditure on GNP at Constant Market Prices,2012Q4,Net Factor Income from the Rest of the World,-8723.0
5228,Expenditure on GNP at Constant Market Prices,2012Q4,Gross National Product at Market Prices,42024.0
5229,Expenditure on GNP at Constant Market Prices,2012Q4,Statistical Discrepancy,
5230,Expenditure on GNP at Constant Market Prices,2012Q4,Export of Goods (excluding Factor Income Flows),23204.0
5231,Expenditure on GNP at Constant Market Prices,2012Q4,Import of Goods (excluding Factor Income Flows),-17267.0
5232,Expenditure on GNP at Constant Market Prices,2012Q4,Export of Services (excluding Factor Income Flows),27719.0
5233,Expenditure on GNP at Constant Market Prices,2012Q4,Import of Services (excluding Factor Income Flows),-25666.0
5234,Expenditure on GNP at Constant Market Prices,2012Q4,Final Domestic Demand,42616.0
5235,Expenditure on GNP at Constant Market Prices,2012Q4,Total Domestic Demand,42002.0
5236,Expenditure on GNP at Constant Market Prices,2013Q1,Personal Expenditure on Consumer Goods and Services,23155.0
5237,Expenditure on GNP at Constant Market Prices,2013Q1,Household & NPISH Final Consumption Expenditure,21917.0
5238,Expenditure on GNP at Constant Market Prices,2013Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,7117.0
5239,Expenditure on GNP at Constant Market Prices,2013Q1,General Government Expenditure on Goods & Services provided to Households,5575.0
5240,Expenditure on GNP at Constant Market Prices,2013Q1,General Government Collective Consumption Expenditure,2777.0
5241,Expenditure on GNP at Constant Market Prices,2013Q1,General Government Final Consumption Expenditure,8352.0
5242,Expenditure on GNP at Constant Market Prices,2013Q1,Gross Domestic Fixed Capital Formation,9748.0
5243,Expenditure on GNP at Constant Market Prices,2013Q1,Gross domestic fixed capital formation - Dwellings,240.0
5244,Expenditure on GNP at Constant Market Prices,2013Q1,Gross domestic fixed capital formation - Improvements,655.0
5245,Expenditure on GNP at Constant Market Prices,2013Q1,Gross domestic fixed capital formation - Other Building and Construction,2361.0
5246,Expenditure on GNP at Constant Market Prices,2013Q1,Gross domestic fixed capital formation - Transfer Costs,185.0
5247,Expenditure on GNP at Constant Market Prices,2013Q1,Gross domestic fixed capital formation - Machinery and Equipment,4204.0
5248,Expenditure on GNP at Constant Market Prices,2013Q1,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,2683.0
5249,Expenditure on GNP at Constant Market Prices,2013Q1,Gross domestic fixed capital formation - Intangible Assets,2251.0
5250,Expenditure on GNP at Constant Market Prices,2013Q1,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
5251,Expenditure on GNP at Constant Market Prices,2013Q1,Value of Physical Changes in Stocks,-39.0
5252,Expenditure on GNP at Constant Market Prices,2013Q1,Exports of Goods and Services (excluding Factor Income Flows),46661.0
5253,Expenditure on GNP at Constant Market Prices,2013Q1,Imports of Goods and Services (excluding Factor Income Flows),-40514.0
5254,Expenditure on GNP at Constant Market Prices,2013Q1,Gross Domestic Product at Market Prices,48925.0
5255,Expenditure on GNP at Constant Market Prices,2013Q1,Net Factor Income from the Rest of the World,-7860.0
5256,Expenditure on GNP at Constant Market Prices,2013Q1,Gross National Product at Market Prices,41239.0
5257,Expenditure on GNP at Constant Market Prices,2013Q1,Statistical Discrepancy,
5258,Expenditure on GNP at Constant Market Prices,2013Q1,Export of Goods (excluding Factor Income Flows),21723.0
5259,Expenditure on GNP at Constant Market Prices,2013Q1,Import of Goods (excluding Factor Income Flows),-17466.0
5260,Expenditure on GNP at Constant Market Prices,2013Q1,Export of Services (excluding Factor Income Flows),24921.0
5261,Expenditure on GNP at Constant Market Prices,2013Q1,Import of Services (excluding Factor Income Flows),-22513.0
5262,Expenditure on GNP at Constant Market Prices,2013Q1,Final Domestic Demand,40212.0
5263,Expenditure on GNP at Constant Market Prices,2013Q1,Total Domestic Demand,39930.0
5264,Expenditure on GNP at Constant Market Prices,2013Q2,Personal Expenditure on Consumer Goods and Services,23048.0
5265,Expenditure on GNP at Constant Market Prices,2013Q2,Household & NPISH Final Consumption Expenditure,21815.0
5266,Expenditure on GNP at Constant Market Prices,2013Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,7256.0
5267,Expenditure on GNP at Constant Market Prices,2013Q2,General Government Expenditure on Goods & Services provided to Households,5664.0
5268,Expenditure on GNP at Constant Market Prices,2013Q2,General Government Collective Consumption Expenditure,2821.0
5269,Expenditure on GNP at Constant Market Prices,2013Q2,General Government Final Consumption Expenditure,8486.0
5270,Expenditure on GNP at Constant Market Prices,2013Q2,Gross Domestic Fixed Capital Formation,9262.0
5271,Expenditure on GNP at Constant Market Prices,2013Q2,Gross domestic fixed capital formation - Dwellings,289.0
5272,Expenditure on GNP at Constant Market Prices,2013Q2,Gross domestic fixed capital formation - Improvements,648.0
5273,Expenditure on GNP at Constant Market Prices,2013Q2,Gross domestic fixed capital formation - Other Building and Construction,2676.0
5274,Expenditure on GNP at Constant Market Prices,2013Q2,Gross domestic fixed capital formation - Transfer Costs,198.0
5275,Expenditure on GNP at Constant Market Prices,2013Q2,Gross domestic fixed capital formation - Machinery and Equipment,3283.0
5276,Expenditure on GNP at Constant Market Prices,2013Q2,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,1826.0
5277,Expenditure on GNP at Constant Market Prices,2013Q2,Gross domestic fixed capital formation - Intangible Assets,2520.0
5278,Expenditure on GNP at Constant Market Prices,2013Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
5279,Expenditure on GNP at Constant Market Prices,2013Q2,Value of Physical Changes in Stocks,522.0
5280,Expenditure on GNP at Constant Market Prices,2013Q2,Exports of Goods and Services (excluding Factor Income Flows),51779.0
5281,Expenditure on GNP at Constant Market Prices,2013Q2,Imports of Goods and Services (excluding Factor Income Flows),-42607.0
5282,Expenditure on GNP at Constant Market Prices,2013Q2,Gross Domestic Product at Market Prices,50864.0
5283,Expenditure on GNP at Constant Market Prices,2013Q2,Net Factor Income from the Rest of the World,-8936.0
5284,Expenditure on GNP at Constant Market Prices,2013Q2,Gross National Product at Market Prices,42024.0
5285,Expenditure on GNP at Constant Market Prices,2013Q2,Statistical Discrepancy,
5286,Expenditure on GNP at Constant Market Prices,2013Q2,Export of Goods (excluding Factor Income Flows),23883.0
5287,Expenditure on GNP at Constant Market Prices,2013Q2,Import of Goods (excluding Factor Income Flows),-17137.0
5288,Expenditure on GNP at Constant Market Prices,2013Q2,Export of Services (excluding Factor Income Flows),27970.0
5289,Expenditure on GNP at Constant Market Prices,2013Q2,Import of Services (excluding Factor Income Flows),-25007.0
5290,Expenditure on GNP at Constant Market Prices,2013Q2,Final Domestic Demand,39784.0
5291,Expenditure on GNP at Constant Market Prices,2013Q2,Total Domestic Demand,40303.0
5292,Expenditure on GNP at Constant Market Prices,2013Q3,Personal Expenditure on Consumer Goods and Services,23600.0
5293,Expenditure on GNP at Constant Market Prices,2013Q3,Household & NPISH Final Consumption Expenditure,22338.0
5294,Expenditure on GNP at Constant Market Prices,2013Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,7567.0
5295,Expenditure on GNP at Constant Market Prices,2013Q3,General Government Expenditure on Goods & Services provided to Households,5893.0
5296,Expenditure on GNP at Constant Market Prices,2013Q3,General Government Collective Consumption Expenditure,2935.0
5297,Expenditure on GNP at Constant Market Prices,2013Q3,General Government Final Consumption Expenditure,8827.0
5298,Expenditure on GNP at Constant Market Prices,2013Q3,Gross Domestic Fixed Capital Formation,10055.0
5299,Expenditure on GNP at Constant Market Prices,2013Q3,Gross domestic fixed capital formation - Dwellings,268.0
5300,Expenditure on GNP at Constant Market Prices,2013Q3,Gross domestic fixed capital formation - Improvements,667.0
5301,Expenditure on GNP at Constant Market Prices,2013Q3,Gross domestic fixed capital formation - Other Building and Construction,3632.0
5302,Expenditure on GNP at Constant Market Prices,2013Q3,Gross domestic fixed capital formation - Transfer Costs,221.0
5303,Expenditure on GNP at Constant Market Prices,2013Q3,Gross domestic fixed capital formation - Machinery and Equipment,2956.0
5304,Expenditure on GNP at Constant Market Prices,2013Q3,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,1234.0
5305,Expenditure on GNP at Constant Market Prices,2013Q3,Gross domestic fixed capital formation - Intangible Assets,2957.0
5306,Expenditure on GNP at Constant Market Prices,2013Q3,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
5307,Expenditure on GNP at Constant Market Prices,2013Q3,Value of Physical Changes in Stocks,237.0
5308,Expenditure on GNP at Constant Market Prices,2013Q3,Exports of Goods and Services (excluding Factor Income Flows),51069.0
5309,Expenditure on GNP at Constant Market Prices,2013Q3,Imports of Goods and Services (excluding Factor Income Flows),-40385.0
5310,Expenditure on GNP at Constant Market Prices,2013Q3,Gross Domestic Product at Market Prices,53454.0
5311,Expenditure on GNP at Constant Market Prices,2013Q3,Net Factor Income from the Rest of the World,-7866.0
5312,Expenditure on GNP at Constant Market Prices,2013Q3,Gross National Product at Market Prices,45858.0
5313,Expenditure on GNP at Constant Market Prices,2013Q3,Statistical Discrepancy,
5314,Expenditure on GNP at Constant Market Prices,2013Q3,Export of Goods (excluding Factor Income Flows),23268.0
5315,Expenditure on GNP at Constant Market Prices,2013Q3,Import of Goods (excluding Factor Income Flows),-16216.0
5316,Expenditure on GNP at Constant Market Prices,2013Q3,Export of Services (excluding Factor Income Flows),27996.0
5317,Expenditure on GNP at Constant Market Prices,2013Q3,Import of Services (excluding Factor Income Flows),-23732.0
5318,Expenditure on GNP at Constant Market Prices,2013Q3,Final Domestic Demand,41427.0
5319,Expenditure on GNP at Constant Market Prices,2013Q3,Total Domestic Demand,41531.0
5320,Expenditure on GNP at Constant Market Prices,2013Q4,Personal Expenditure on Consumer Goods and Services,25604.0
5321,Expenditure on GNP at Constant Market Prices,2013Q4,Household & NPISH Final Consumption Expenditure,24235.0
5322,Expenditure on GNP at Constant Market Prices,2013Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,7540.0
5323,Expenditure on GNP at Constant Market Prices,2013Q4,General Government Expenditure on Goods & Services provided to Households,5944.0
5324,Expenditure on GNP at Constant Market Prices,2013Q4,General Government Collective Consumption Expenditure,2960.0
5325,Expenditure on GNP at Constant Market Prices,2013Q4,General Government Final Consumption Expenditure,8904.0
5326,Expenditure on GNP at Constant Market Prices,2013Q4,Gross Domestic Fixed Capital Formation,10633.0
5327,Expenditure on GNP at Constant Market Prices,2013Q4,Gross domestic fixed capital formation - Dwellings,305.0
5328,Expenditure on GNP at Constant Market Prices,2013Q4,Gross domestic fixed capital formation - Improvements,757.0
5329,Expenditure on GNP at Constant Market Prices,2013Q4,Gross domestic fixed capital formation - Other Building and Construction,3970.0
5330,Expenditure on GNP at Constant Market Prices,2013Q4,Gross domestic fixed capital formation - Transfer Costs,268.0
5331,Expenditure on GNP at Constant Market Prices,2013Q4,Gross domestic fixed capital formation - Machinery and Equipment,3030.0
5332,Expenditure on GNP at Constant Market Prices,2013Q4,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,1027.0
5333,Expenditure on GNP at Constant Market Prices,2013Q4,Gross domestic fixed capital formation - Intangible Assets,3068.0
5334,Expenditure on GNP at Constant Market Prices,2013Q4,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
5335,Expenditure on GNP at Constant Market Prices,2013Q4,Value of Physical Changes in Stocks,-591.0
5336,Expenditure on GNP at Constant Market Prices,2013Q4,Exports of Goods and Services (excluding Factor Income Flows),51822.0
5337,Expenditure on GNP at Constant Market Prices,2013Q4,Imports of Goods and Services (excluding Factor Income Flows),-44342.0
5338,Expenditure on GNP at Constant Market Prices,2013Q4,Gross Domestic Product at Market Prices,52223.0
5339,Expenditure on GNP at Constant Market Prices,2013Q4,Net Factor Income from the Rest of the World,-6511.0
5340,Expenditure on GNP at Constant Market Prices,2013Q4,Gross National Product at Market Prices,46109.0
5341,Expenditure on GNP at Constant Market Prices,2013Q4,Statistical Discrepancy,
5342,Expenditure on GNP at Constant Market Prices,2013Q4,Export of Goods (excluding Factor Income Flows),22119.0
5343,Expenditure on GNP at Constant Market Prices,2013Q4,Import of Goods (excluding Factor Income Flows),-17444.0
5344,Expenditure on GNP at Constant Market Prices,2013Q4,Export of Services (excluding Factor Income Flows),30532.0
5345,Expenditure on GNP at Constant Market Prices,2013Q4,Import of Services (excluding Factor Income Flows),-26448.0
5346,Expenditure on GNP at Constant Market Prices,2013Q4,Final Domestic Demand,43982.0
5347,Expenditure on GNP at Constant Market Prices,2013Q4,Total Domestic Demand,42893.0
5348,Expenditure on GNP at Constant Market Prices,2014Q1,Personal Expenditure on Consumer Goods and Services,23546.0
5349,Expenditure on GNP at Constant Market Prices,2014Q1,Household & NPISH Final Consumption Expenditure,22302.0
5350,Expenditure on GNP at Constant Market Prices,2014Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,7392.0
5351,Expenditure on GNP at Constant Market Prices,2014Q1,General Government Expenditure on Goods & Services provided to Households,5725.0
5352,Expenditure on GNP at Constant Market Prices,2014Q1,General Government Collective Consumption Expenditure,2907.0
5353,Expenditure on GNP at Constant Market Prices,2014Q1,General Government Final Consumption Expenditure,8633.0
5354,Expenditure on GNP at Constant Market Prices,2014Q1,Gross Domestic Fixed Capital Formation,11223.0
5355,Expenditure on GNP at Constant Market Prices,2014Q1,Gross domestic fixed capital formation - Dwellings,284.0
5356,Expenditure on GNP at Constant Market Prices,2014Q1,Gross domestic fixed capital formation - Improvements,777.0
5357,Expenditure on GNP at Constant Market Prices,2014Q1,Gross domestic fixed capital formation - Other Building and Construction,2715.0
5358,Expenditure on GNP at Constant Market Prices,2014Q1,Gross domestic fixed capital formation - Transfer Costs,285.0
5359,Expenditure on GNP at Constant Market Prices,2014Q1,Gross domestic fixed capital formation - Machinery and Equipment,4281.0
5360,Expenditure on GNP at Constant Market Prices,2014Q1,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,2042.0
5361,Expenditure on GNP at Constant Market Prices,2014Q1,Gross domestic fixed capital formation - Intangible Assets,3135.0
5362,Expenditure on GNP at Constant Market Prices,2014Q1,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
5363,Expenditure on GNP at Constant Market Prices,2014Q1,Value of Physical Changes in Stocks,1140.0
5364,Expenditure on GNP at Constant Market Prices,2014Q1,Exports of Goods and Services (excluding Factor Income Flows),51893.0
5365,Expenditure on GNP at Constant Market Prices,2014Q1,Imports of Goods and Services (excluding Factor Income Flows),-43946.0
5366,Expenditure on GNP at Constant Market Prices,2014Q1,Gross Domestic Product at Market Prices,53537.0
5367,Expenditure on GNP at Constant Market Prices,2014Q1,Net Factor Income from the Rest of the World,-8455.0
5368,Expenditure on GNP at Constant Market Prices,2014Q1,Gross National Product at Market Prices,45298.0
5369,Expenditure on GNP at Constant Market Prices,2014Q1,Statistical Discrepancy,
5370,Expenditure on GNP at Constant Market Prices,2014Q1,Export of Goods (excluding Factor Income Flows),24888.0
5371,Expenditure on GNP at Constant Market Prices,2014Q1,Import of Goods (excluding Factor Income Flows),-17661.0
5372,Expenditure on GNP at Constant Market Prices,2014Q1,Export of Services (excluding Factor Income Flows),26746.0
5373,Expenditure on GNP at Constant Market Prices,2014Q1,Import of Services (excluding Factor Income Flows),-25799.0
5374,Expenditure on GNP at Constant Market Prices,2014Q1,Final Domestic Demand,42309.0
5375,Expenditure on GNP at Constant Market Prices,2014Q1,Total Domestic Demand,43726.0
5376,Expenditure on GNP at Constant Market Prices,2014Q2,Personal Expenditure on Consumer Goods and Services,23671.0
5377,Expenditure on GNP at Constant Market Prices,2014Q2,Household & NPISH Final Consumption Expenditure,22421.0
5378,Expenditure on GNP at Constant Market Prices,2014Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,7710.0
5379,Expenditure on GNP at Constant Market Prices,2014Q2,General Government Expenditure on Goods & Services provided to Households,5941.0
5380,Expenditure on GNP at Constant Market Prices,2014Q2,General Government Collective Consumption Expenditure,3017.0
5381,Expenditure on GNP at Constant Market Prices,2014Q2,General Government Final Consumption Expenditure,8957.0
5382,Expenditure on GNP at Constant Market Prices,2014Q2,Gross Domestic Fixed Capital Formation,10888.0
5383,Expenditure on GNP at Constant Market Prices,2014Q2,Gross domestic fixed capital formation - Dwellings,317.0
5384,Expenditure on GNP at Constant Market Prices,2014Q2,Gross domestic fixed capital formation - Improvements,765.0
5385,Expenditure on GNP at Constant Market Prices,2014Q2,Gross domestic fixed capital formation - Other Building and Construction,3062.0
5386,Expenditure on GNP at Constant Market Prices,2014Q2,Gross domestic fixed capital formation - Transfer Costs,280.0
5387,Expenditure on GNP at Constant Market Prices,2014Q2,Gross domestic fixed capital formation - Machinery and Equipment,3493.0
5388,Expenditure on GNP at Constant Market Prices,2014Q2,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,1957.0
5389,Expenditure on GNP at Constant Market Prices,2014Q2,Gross domestic fixed capital formation - Intangible Assets,3401.0
5390,Expenditure on GNP at Constant Market Prices,2014Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
5391,Expenditure on GNP at Constant Market Prices,2014Q2,Value of Physical Changes in Stocks,193.0
5392,Expenditure on GNP at Constant Market Prices,2014Q2,Exports of Goods and Services (excluding Factor Income Flows),58130.0
5393,Expenditure on GNP at Constant Market Prices,2014Q2,Imports of Goods and Services (excluding Factor Income Flows),-47754.0
5394,Expenditure on GNP at Constant Market Prices,2014Q2,Gross Domestic Product at Market Prices,55155.0
5395,Expenditure on GNP at Constant Market Prices,2014Q2,Net Factor Income from the Rest of the World,-8921.0
5396,Expenditure on GNP at Constant Market Prices,2014Q2,Gross National Product at Market Prices,46440.0
5397,Expenditure on GNP at Constant Market Prices,2014Q2,Statistical Discrepancy,
5398,Expenditure on GNP at Constant Market Prices,2014Q2,Export of Goods (excluding Factor Income Flows),26902.0
5399,Expenditure on GNP at Constant Market Prices,2014Q2,Import of Goods (excluding Factor Income Flows),-18334.0
5400,Expenditure on GNP at Constant Market Prices,2014Q2,Export of Services (excluding Factor Income Flows),31304.0
5401,Expenditure on GNP at Constant Market Prices,2014Q2,Import of Services (excluding Factor Income Flows),-28923.0
5402,Expenditure on GNP at Constant Market Prices,2014Q2,Final Domestic Demand,42438.0
5403,Expenditure on GNP at Constant Market Prices,2014Q2,Total Domestic Demand,42479.0
5404,Expenditure on GNP at Constant Market Prices,2014Q3,Personal Expenditure on Consumer Goods and Services,24223.0
5405,Expenditure on GNP at Constant Market Prices,2014Q3,Household & NPISH Final Consumption Expenditure,22943.0
5406,Expenditure on GNP at Constant Market Prices,2014Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,7724.0
5407,Expenditure on GNP at Constant Market Prices,2014Q3,General Government Expenditure on Goods & Services provided to Households,5969.0
5408,Expenditure on GNP at Constant Market Prices,2014Q3,General Government Collective Consumption Expenditure,3031.0
5409,Expenditure on GNP at Constant Market Prices,2014Q3,General Government Final Consumption Expenditure,9000.0
5410,Expenditure on GNP at Constant Market Prices,2014Q3,Gross Domestic Fixed Capital Formation,12040.0
5411,Expenditure on GNP at Constant Market Prices,2014Q3,Gross domestic fixed capital formation - Dwellings,350.0
5412,Expenditure on GNP at Constant Market Prices,2014Q3,Gross domestic fixed capital formation - Improvements,783.0
5413,Expenditure on GNP at Constant Market Prices,2014Q3,Gross domestic fixed capital formation - Other Building and Construction,3745.0
5414,Expenditure on GNP at Constant Market Prices,2014Q3,Gross domestic fixed capital formation - Transfer Costs,346.0
5415,Expenditure on GNP at Constant Market Prices,2014Q3,Gross domestic fixed capital formation - Machinery and Equipment,4250.0
5416,Expenditure on GNP at Constant Market Prices,2014Q3,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,2112.0
5417,Expenditure on GNP at Constant Market Prices,2014Q3,Gross domestic fixed capital formation - Intangible Assets,3127.0
5418,Expenditure on GNP at Constant Market Prices,2014Q3,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
5419,Expenditure on GNP at Constant Market Prices,2014Q3,Value of Physical Changes in Stocks,348.0
5420,Expenditure on GNP at Constant Market Prices,2014Q3,Exports of Goods and Services (excluding Factor Income Flows),59963.0
5421,Expenditure on GNP at Constant Market Prices,2014Q3,Imports of Goods and Services (excluding Factor Income Flows),-47594.0
5422,Expenditure on GNP at Constant Market Prices,2014Q3,Gross Domestic Product at Market Prices,57461.0
5423,Expenditure on GNP at Constant Market Prices,2014Q3,Net Factor Income from the Rest of the World,-8596.0
5424,Expenditure on GNP at Constant Market Prices,2014Q3,Gross National Product at Market Prices,49137.0
5425,Expenditure on GNP at Constant Market Prices,2014Q3,Statistical Discrepancy,
5426,Expenditure on GNP at Constant Market Prices,2014Q3,Export of Goods (excluding Factor Income Flows),26964.0
5427,Expenditure on GNP at Constant Market Prices,2014Q3,Import of Goods (excluding Factor Income Flows),-18269.0
5428,Expenditure on GNP at Constant Market Prices,2014Q3,Export of Services (excluding Factor Income Flows),33372.0
5429,Expenditure on GNP at Constant Market Prices,2014Q3,Import of Services (excluding Factor Income Flows),-28829.0
5430,Expenditure on GNP at Constant Market Prices,2014Q3,Final Domestic Demand,44121.0
5431,Expenditure on GNP at Constant Market Prices,2014Q3,Total Domestic Demand,44378.0
5432,Expenditure on GNP at Constant Market Prices,2014Q4,Personal Expenditure on Consumer Goods and Services,26479.0
5433,Expenditure on GNP at Constant Market Prices,2014Q4,Household & NPISH Final Consumption Expenditure,25080.0
5434,Expenditure on GNP at Constant Market Prices,2014Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,7582.0
5435,Expenditure on GNP at Constant Market Prices,2014Q4,General Government Expenditure on Goods & Services provided to Households,5955.0
5436,Expenditure on GNP at Constant Market Prices,2014Q4,General Government Collective Consumption Expenditure,3024.0
5437,Expenditure on GNP at Constant Market Prices,2014Q4,General Government Final Consumption Expenditure,8978.0
5438,Expenditure on GNP at Constant Market Prices,2014Q4,Gross Domestic Fixed Capital Formation,12907.0
5439,Expenditure on GNP at Constant Market Prices,2014Q4,Gross domestic fixed capital formation - Dwellings,320.0
5440,Expenditure on GNP at Constant Market Prices,2014Q4,Gross domestic fixed capital formation - Improvements,660.0
5441,Expenditure on GNP at Constant Market Prices,2014Q4,Gross domestic fixed capital formation - Other Building and Construction,4012.0
5442,Expenditure on GNP at Constant Market Prices,2014Q4,Gross domestic fixed capital formation - Transfer Costs,414.0
5443,Expenditure on GNP at Constant Market Prices,2014Q4,Gross domestic fixed capital formation - Machinery and Equipment,4353.0
5444,Expenditure on GNP at Constant Market Prices,2014Q4,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,2387.0
5445,Expenditure on GNP at Constant Market Prices,2014Q4,Gross domestic fixed capital formation - Intangible Assets,3714.0
