,Statistic,Quarter,Item,value
1869,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q3,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),1911.0
1870,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q3,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),437.0
1871,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q3,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),7042.0
1872,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q3,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),558.0
1873,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q3,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),255.0
1874,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q3,Net operating balance - ESA2010 Code  (NOB),-2164.0
1875,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q3,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),-108.0
1876,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q3,General Government Surplus/Deficit - ESA2010 Code (B9),-2056.0
1877,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q3,Net acquisition of financial assets,-2336.0
1878,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q3,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),-2399.0
1879,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q3,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),285.0
1880,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q3,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),-222.0
1881,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q3,Net incurrence of liabilities,-44.0
1882,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q3,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),-2.0
1883,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q3,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),-42.0
1884,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q3,Memo: Net derivative flows on debt interest swap contracts,-74.0
1885,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q3,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),16830.0
1886,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q3,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),18225.0
1887,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q3,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),-1395.0
1888,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q4,General Government transactions - Revenue - ESA2010 Code (TR),18810.0
1889,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q4,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),16917.0
1890,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q4,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),13786.0
1891,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q4,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),3131.0
1892,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q4,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),1207.0
1893,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q4,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),362.0
1894,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q4,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),98.0
1895,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q4,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),226.0
1896,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q4,General Government transactions - Expenditure - ESA2010 Code (TE),19618.0
1897,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q4,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),19103.0
1898,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q4,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),4796.0
1899,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q4,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),2420.0
1900,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q4,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),853.0
1901,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q4,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),1871.0
1902,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q4,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),603.0
1903,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q4,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),7479.0
1904,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q4,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),761.0
1905,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q4,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),321.0
1906,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q4,Net operating balance - ESA2010 Code  (NOB),-293.0
1907,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q4,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),515.0
1908,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q4,General Government Surplus/Deficit - ESA2010 Code (B9),-808.0
1909,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q4,Net acquisition of financial assets,-6567.0
1910,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q4,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),-8489.0
1911,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q4,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),256.0
1912,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q4,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),1667.0
1913,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q4,Net incurrence of liabilities,-5476.0
1914,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q4,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),-6232.0
1915,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q4,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),756.0
1916,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q4,Memo: Net derivative flows on debt interest swap contracts,-53.0
1917,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q4,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),16639.0
1918,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q4,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),18343.0
1919,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q4,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),-1704.0
1920,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q1,General Government transactions - Revenue - ESA2010 Code (TR),16075.0
1921,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q1,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),14431.0
1922,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q1,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),11357.0
1923,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q1,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),3074.0
1924,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q1,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),986.0
1925,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q1,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),418.0
1926,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q1,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),144.0
1927,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q1,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),97.0
1928,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q1,General Government transactions - Expenditure - ESA2010 Code (TE),18332.0
1929,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q1,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),17998.0
1930,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q1,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),4797.0
1931,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q1,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),2176.0
1932,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q1,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),910.0
1933,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q1,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),1757.0
1934,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q1,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),383.0
1935,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q1,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),6603.0
1936,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q1,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),924.0
1937,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q1,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),448.0
1938,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q1,Net operating balance - ESA2010 Code  (NOB),-1923.0
1939,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q1,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),334.0
1940,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q1,General Government Surplus/Deficit - ESA2010 Code (B9),-2257.0
1941,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q1,Net acquisition of financial assets,-2698.0
1942,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q1,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),-243.0
1943,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q1,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),473.0
1944,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q1,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),-2928.0
1945,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q1,Net incurrence of liabilities,-1145.0
1946,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q1,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),-1289.0
1947,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q1,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),144.0
1948,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q1,Memo: Net derivative flows on debt interest swap contracts,-22.0
1949,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q1,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),17333.0
1950,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q1,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),18861.0
1951,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q1,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),-1528.0
1952,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q2,General Government transactions - Revenue - ESA2010 Code (TR),17527.0
1953,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q2,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),14528.0
1954,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q2,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),11582.0
1955,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q2,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),2946.0
1956,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q2,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),1137.0
1957,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q2,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),1684.0
1958,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q2,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),103.0
1959,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q2,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),76.0
1960,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q2,General Government transactions - Expenditure - ESA2010 Code (TE),18063.0
1961,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q2,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),17810.0
1962,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q2,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),4883.0
1963,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q2,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),2306.0
1964,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q2,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),910.0
1965,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q2,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),1716.0
1966,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q2,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),399.0
1967,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q2,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),6650.0
1968,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q2,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),681.0
1969,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q2,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),265.0
1970,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q2,Net operating balance - ESA2010 Code  (NOB),-283.0
1971,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q2,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),252.0
1972,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q2,General Government Surplus/Deficit - ESA2010 Code (B9),-535.0
1973,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q2,Net acquisition of financial assets,436.0
1974,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q2,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),1371.0
1975,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q2,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),-831.0
1976,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q2,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),-104.0
1977,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q2,Net incurrence of liabilities,397.0
1978,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q2,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),154.0
1979,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q2,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),242.0
1980,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q2,Memo: Net derivative flows on debt interest swap contracts,-74.0
1981,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q2,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),17571.0
1982,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q2,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),18648.0
1983,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q2,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),-1077.0
1984,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q3,General Government transactions - Revenue - ESA2010 Code (TR),16763.0
1985,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q3,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),15097.0
1986,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q3,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),12199.0
1987,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q3,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),2897.0
1988,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q3,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),1144.0
1989,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q3,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),330.0
1990,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q3,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),124.0
1991,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q3,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),68.0
1992,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q3,General Government transactions - Expenditure - ESA2010 Code (TE),18149.0
1993,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q3,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),18012.0
1994,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q3,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),4802.0
1995,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q3,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),2440.0
1996,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q3,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),910.0
1997,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q3,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),1722.0
1998,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q3,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),418.0
1999,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q3,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),7123.0
2000,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q3,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),249.0
2001,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q3,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),348.0
2002,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q3,Net operating balance - ESA2010 Code  (NOB),-1249.0
2003,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q3,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),137.0
2004,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q3,General Government Surplus/Deficit - ESA2010 Code (B9),-1385.0
2005,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q3,Net acquisition of financial assets,-53.0
2006,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q3,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),101.0
2007,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q3,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),-34.0
2008,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q3,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),-120.0
2009,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q3,Net incurrence of liabilities,514.0
2010,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q3,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),477.0
2011,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q3,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),37.0
2012,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q3,Memo: Net derivative flows on debt interest swap contracts,-73.0
2013,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q3,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),17855.0
2014,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q3,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),18299.0
2015,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q3,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),-444.0
2016,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q4,General Government transactions - Revenue - ESA2010 Code (TR),20693.0
2017,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q4,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),18915.0
2018,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q4,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),15611.0
2019,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q4,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),3304.0
2020,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q4,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),1340.0
2021,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q4,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),289.0
2022,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q4,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),81.0
2023,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q4,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),69.0
2024,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q4,General Government transactions - Expenditure - ESA2010 Code (TE),21872.0
2025,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q4,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),21586.0
2026,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q4,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),4975.0
2027,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q4,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),2638.0
2028,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q4,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),910.0
2029,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q4,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),1743.0
2030,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q4,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),588.0
2031,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q4,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),7557.0
2032,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q4,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),742.0
2033,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q4,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),2434.0
2034,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q4,Net operating balance - ESA2010 Code  (NOB),-893.0
2035,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q4,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),286.0
2036,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q4,General Government Surplus/Deficit - ESA2010 Code (B9),-1180.0
2037,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q4,Net acquisition of financial assets,-6520.0
2038,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q4,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),-8323.0
2039,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q4,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),633.0
