Statistic,Quarter,Sectors,value
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Gross Domestic Fixed Capital Formation,-0.4
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Exports of Goods and Services (excluding Factor Income Flows),6.8
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Imports of Goods and Services (excluding Factor Income Flows),5.5
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Gross Domestic Product at Market Prices,3.2
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Gross National Product at Market Prices,0.9
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Modified Final Domestic Demand,2.1
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Personal Expenditure on Consumer Goods and Services,1.2
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,1.7
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Gross Domestic Fixed Capital Formation,1.6
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Exports of Goods and Services (excluding Factor Income Flows),-0.8
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Imports of Goods and Services (excluding Factor Income Flows),6.0
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Gross Domestic Product at Market Prices,-3.4
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Gross National Product at Market Prices,-2.3
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Modified Final Domestic Demand,3.2
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Personal Expenditure on Consumer Goods and Services,3.8
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,0.6
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Gross Domestic Fixed Capital Formation,9.2
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Exports of Goods and Services (excluding Factor Income Flows),2.8
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Imports of Goods and Services (excluding Factor Income Flows),-3.4
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Gross Domestic Product at Market Prices,7.1
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Gross National Product at Market Prices,8.3
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Modified Final Domestic Demand,1.7
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Personal Expenditure on Consumer Goods and Services,0.0
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,0.9
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Gross Domestic Fixed Capital Formation,3.2
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Exports of Goods and Services (excluding Factor Income Flows),6.8
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Imports of Goods and Services (excluding Factor Income Flows),7.7
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Gross Domestic Product at Market Prices,1.6
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Gross National Product at Market Prices,0.9
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Modified Final Domestic Demand,1.2
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Personal Expenditure on Consumer Goods and Services,6.1
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,2.5
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Gross Domestic Fixed Capital Formation,5.4
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Exports of Goods and Services (excluding Factor Income Flows),5.6
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Imports of Goods and Services (excluding Factor Income Flows),4.6
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Gross Domestic Product at Market Prices,3.3
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Gross National Product at Market Prices,-0.7
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Modified Final Domestic Demand,6.1
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Personal Expenditure on Consumer Goods and Services,-0.1
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,0.1
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Gross Domestic Fixed Capital Formation,-8.2
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Exports of Goods and Services (excluding Factor Income Flows),4.9
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Imports of Goods and Services (excluding Factor Income Flows),4.1
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Gross Domestic Product at Market Prices,1.5
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Gross National Product at Market Prices,2.2
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Modified Final Domestic Demand,-0.8
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Personal Expenditure on Consumer Goods and Services,5.0
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,1.4
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Gross Domestic Fixed Capital Formation,11.7
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Exports of Goods and Services (excluding Factor Income Flows),3.2
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Imports of Goods and Services (excluding Factor Income Flows),5.2
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Gross Domestic Product at Market Prices,1.9
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Gross National Product at Market Prices,4.2
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Modified Final Domestic Demand,3.5
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Personal Expenditure on Consumer Goods and Services,2.4
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,2.9
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Gross Domestic Fixed Capital Formation,0.1
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Exports of Goods and Services (excluding Factor Income Flows),9.1
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Imports of Goods and Services (excluding Factor Income Flows),9.5
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Gross Domestic Product at Market Prices,3.3
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Gross National Product at Market Prices,5.5
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Modified Final Domestic Demand,2.0
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Personal Expenditure on Consumer Goods and Services,0.6
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,1.8
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Gross Domestic Fixed Capital Formation,-3.8
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Exports of Goods and Services (excluding Factor Income Flows),4.2
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Imports of Goods and Services (excluding Factor Income Flows),3.3
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Gross Domestic Product at Market Prices,1.7
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Gross National Product at Market Prices,-2.7
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Modified Final Domestic Demand,0.2
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Personal Expenditure on Consumer Goods and Services,0.9
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,6.2
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Gross Domestic Fixed Capital Formation,-6.9
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Exports of Goods and Services (excluding Factor Income Flows),4.8
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Imports of Goods and Services (excluding Factor Income Flows),7.5
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Gross Domestic Product at Market Prices,0.2
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Gross National Product at Market Prices,-0.7
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Modified Final Domestic Demand,1.4
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,Personal Expenditure on Consumer Goods and Services,1.8
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,-1.2
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,Gross Domestic Fixed Capital Formation,19.3
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,Exports of Goods and Services (excluding Factor Income Flows),7.7
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,Imports of Goods and Services (excluding Factor Income Flows),6.4
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,Gross Domestic Product at Market Prices,2.7
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,Gross National Product at Market Prices,4.9
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,Modified Final Domestic Demand,2.6
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q2,Personal Expenditure on Consumer Goods and Services,2.0
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,2.7
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q2,Gross Domestic Fixed Capital Formation,1.7
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q2,Exports of Goods and Services (excluding Factor Income Flows),-2.8
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q2,Imports of Goods and Services (excluding Factor Income Flows),-5.9
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q2,Gross Domestic Product at Market Prices,1.6
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q2,Gross National Product at Market Prices,0.3
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q2,Modified Final Domestic Demand,1.7
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q3,Personal Expenditure on Consumer Goods and Services,-0.1
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,2.6
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q3,Gross Domestic Fixed Capital Formation,-7.7
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q3,Exports of Goods and Services (excluding Factor Income Flows),2.0
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q3,Imports of Goods and Services (excluding Factor Income Flows),3.0
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q3,Gross Domestic Product at Market Prices,-0.8
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q3,Gross National Product at Market Prices,-2.8
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q3,Modified Final Domestic Demand,-1.6
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q4,Personal Expenditure on Consumer Goods and Services,2.1
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,5.2
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q4,Gross Domestic Fixed Capital Formation,-1.0
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q4,Exports of Goods and Services (excluding Factor Income Flows),2.0
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q4,Imports of Goods and Services (excluding Factor Income Flows),2.0
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q4,Gross Domestic Product at Market Prices,1.4
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q4,Gross National Product at Market Prices,1.1
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q4,Modified Final Domestic Demand,2.6
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q1,Personal Expenditure on Consumer Goods and Services,1.0
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,-0.7
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q1,Gross Domestic Fixed Capital Formation,10.3
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q1,Exports of Goods and Services (excluding Factor Income Flows),7.9
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q1,Imports of Goods and Services (excluding Factor Income Flows),7.3
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q1,Gross Domestic Product at Market Prices,3.0
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q1,Gross National Product at Market Prices,2.0
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q1,Modified Final Domestic Demand,1.4
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q2,Personal Expenditure on Consumer Goods and Services,0.4
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,0.9
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q2,Gross Domestic Fixed Capital Formation,0.1
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q2,Exports of Goods and Services (excluding Factor Income Flows),-4.0
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q2,Imports of Goods and Services (excluding Factor Income Flows),-1.1
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q2,Gross Domestic Product at Market Prices,0.7
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q2,Gross National Product at Market Prices,1.7
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q2,Modified Final Domestic Demand,-0.4
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q3,Personal Expenditure on Consumer Goods and Services,2.5
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,0.2
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q3,Gross Domestic Fixed Capital Formation,4.9
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q3,Exports of Goods and Services (excluding Factor Income Flows),0.7
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q3,Imports of Goods and Services (excluding Factor Income Flows),-1.7
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q3,Gross Domestic Product at Market Prices,2.0
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q3,Gross National Product at Market Prices,1.1
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q3,Modified Final Domestic Demand,3.1
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q4,Personal Expenditure on Consumer Goods and Services,-0.1
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,0.4
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q4,Gross Domestic Fixed Capital Formation,-7.0
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q4,Exports of Goods and Services (excluding Factor Income Flows),-2.7
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q4,Imports of Goods and Services (excluding Factor Income Flows),-5.8
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q4,Gross Domestic Product at Market Prices,0.8
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q4,Gross National Product at Market Prices,-0.9
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2002Q4,Modified Final Domestic Demand,-0.9
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q1,Personal Expenditure on Consumer Goods and Services,1.1
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,2.8
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q1,Gross Domestic Fixed Capital Formation,4.4
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q1,Exports of Goods and Services (excluding Factor Income Flows),-0.9
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q1,Imports of Goods and Services (excluding Factor Income Flows),-0.1
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q1,Gross Domestic Product at Market Prices,-0.4
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q1,Gross National Product at Market Prices,2.1
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q1,Modified Final Domestic Demand,0.9
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q2,Personal Expenditure on Consumer Goods and Services,0.7
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,-1.2
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q2,Gross Domestic Fixed Capital Formation,-1.4
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q2,Exports of Goods and Services (excluding Factor Income Flows),0.1
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q2,Imports of Goods and Services (excluding Factor Income Flows),1.1
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q2,Gross Domestic Product at Market Prices,0.5
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q2,Gross National Product at Market Prices,1.5
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q2,Modified Final Domestic Demand,0.8
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q3,Personal Expenditure on Consumer Goods and Services,0.4
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,0.7
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q3,Gross Domestic Fixed Capital Formation,7.4
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q3,Exports of Goods and Services (excluding Factor Income Flows),3.9
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q3,Imports of Goods and Services (excluding Factor Income Flows),4.3
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q3,Gross Domestic Product at Market Prices,0.9
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q3,Gross National Product at Market Prices,1.1
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q3,Modified Final Domestic Demand,1.6
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q4,Personal Expenditure on Consumer Goods and Services,1.2
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,0.3
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q4,Gross Domestic Fixed Capital Formation,10.2
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q4,Exports of Goods and Services (excluding Factor Income Flows),7.1
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q4,Imports of Goods and Services (excluding Factor Income Flows),5.9
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q4,Gross Domestic Product at Market Prices,5.0
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q4,Gross National Product at Market Prices,3.4
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2003Q4,Modified Final Domestic Demand,4.3
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q1,Personal Expenditure on Consumer Goods and Services,1.7
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,-6.2
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q1,Gross Domestic Fixed Capital Formation,-3.7
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q1,Exports of Goods and Services (excluding Factor Income Flows),-2.6
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q1,Imports of Goods and Services (excluding Factor Income Flows),-6.2
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q1,Gross Domestic Product at Market Prices,0.0
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q1,Gross National Product at Market Prices,1.2
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q1,Modified Final Domestic Demand,-2.7
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q2,Personal Expenditure on Consumer Goods and Services,0.6
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,8.5
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q2,Gross Domestic Fixed Capital Formation,6.0
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q2,Exports of Goods and Services (excluding Factor Income Flows),1.8
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q2,Imports of Goods and Services (excluding Factor Income Flows),2.4
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q2,Gross Domestic Product at Market Prices,2.3
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q2,Gross National Product at Market Prices,2.4
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q2,Modified Final Domestic Demand,3.5
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q3,Personal Expenditure on Consumer Goods and Services,0.9
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,1.2
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q3,Gross Domestic Fixed Capital Formation,-1.0
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q3,Exports of Goods and Services (excluding Factor Income Flows),0.5
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q3,Imports of Goods and Services (excluding Factor Income Flows),0.6
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q3,Gross Domestic Product at Market Prices,-0.5
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q3,Gross National Product at Market Prices,-0.6
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q3,Modified Final Domestic Demand,1.3
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q4,Personal Expenditure on Consumer Goods and Services,1.0
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,1.4
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q4,Gross Domestic Fixed Capital Formation,-2.3
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q4,Exports of Goods and Services (excluding Factor Income Flows),1.1
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q4,Imports of Goods and Services (excluding Factor Income Flows),0.8
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q4,Gross Domestic Product at Market Prices,2.2
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q4,Gross National Product at Market Prices,1.6
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2004Q4,Modified Final Domestic Demand,1.1
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2005Q1,Personal Expenditure on Consumer Goods and Services,1.7
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2005Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,-1.0
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2005Q1,Gross Domestic Fixed Capital Formation,9.3
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2005Q1,Exports of Goods and Services (excluding Factor Income Flows),0.6
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2005Q1,Imports of Goods and Services (excluding Factor Income Flows),3.6
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2005Q1,Gross Domestic Product at Market Prices,2.1
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2005Q1,Gross National Product at Market Prices,2.4
Percentage change on Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2005Q1,Modified Final Domestic Demand,2.4
